Code,Indicator Name,Long definition,Source
WP_time_10.1,Account (% age 15+) [ts],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.1,Account (% age 15+) [w2],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account or through a mobile phone at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.1,Account at a financial institution (% age 15+) [ts],Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11623_4.1,Account at a financial institution (% age 15+) [w1],"Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.1,Account at a financial institution (% age 15+) [w2],"Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.3,"Account at a financial institution, female (% age 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.3,"Account at a financial institution, female (% age 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.3,"Account at a financial institution, female (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.8,"Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.8,"Account at a financial institution, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
