,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Benin,"10,141","18,422","36,511","62,296","97,459","132,339","166,950","201,236","235,260","269,197","303,217","337,485","371,905","406,420","440,563","484,193","481,761","481,242","484,161","494,083","513,378","540,413","573,111","609,469","649,458","718,974","804,873","888,439","1,027,375","1,173,955","1,270,970","1,432,557","1,606,962","1,835,408","1,970,666","2,173,085","2,399,521","2,664,165","2,825,718","3,004,729","3,102,330","3,212,221","3,305,372","3,446,328","3,531,922","3,601,688","3,646,451","3,678,906","3,711,361","3,743,463","3,775,565","3,808,020","3,840,475","3,872,224","3,904,326","4,089,003","4,332,728","4,353,477","4,374,227","4,595,464","4,765,735","4,823,326","4,893,667","4,964,008","5,016,096","5,018,008","5,019,919","5,101,259","5,213,904","5,362,055","5,530,545","5,693,126","5,838,099","5,974,136","6,107,567","6,240,351","6,370,354","6,492,621","6,611,976","6,728,819","6,841,390","6,947,887","7,049,502","7,147,863"
1,Unique subscribers,1581,Mobile internet,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,695","133,147","145,433","163,461","182,925","205,656","231,890","267,389","302,819","341,133","382,735","449,812","517,240","584,863","654,555","744,784","823,570","915,101","1,009,854","1,120,172","1,234,923","1,326,975","1,433,840","1,542,823","1,656,861","1,774,976","1,897,605","2,025,186","2,157,040","2,291,449","2,430,298","2,572,856","2,717,930","2,864,162","3,014,406","3,168,983","3,326,924","3,485,971","3,648,404","3,814,159","3,981,977","4,150,170","4,318,872","4,489,192"
1,Unique subscribers,1582,Mobile internet > 2G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,695","133,147","145,433","163,461","182,925","205,656","231,890","267,389","302,819","341,133","382,735","424,969","470,459","518,138","569,634","640,336","690,314","738,199","797,274","870,398","940,488","984,463","1,039,015","1,091,833","1,145,535","1,198,964","1,252,263","1,305,550","1,358,028","1,407,903","1,456,652","1,503,206","1,546,073","1,583,636","1,618,092","1,649,175","1,675,626","1,695,762","1,712,000","1,724,594","1,732,939","1,736,373","1,735,806","1,731,395"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,843","46,781","66,725","84,921","104,448","133,256","176,902","212,580","249,774","294,435","342,512","394,825","450,990","511,326","576,012","645,342","719,636","799,012","883,546","973,646","1,069,650","1,171,857","1,280,526","1,396,314","1,519,808","1,651,298","1,790,209","1,936,404","2,089,565","2,249,038","2,413,797","2,583,066","2,757,797"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Benin,1.00,1.00,1.01,1.01,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.05,1.05,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.08,1.08,1.09,1.10,1.11,1.12,1.14,1.16,1.18,1.20,1.24,1.28,1.30,1.35,1.40,1.47,1.53,1.60,1.63,1.67,1.69,1.72,1.74,1.75,1.75,1.79,1.72,1.64,1.57,1.50,1.58,1.67,1.76,1.79,1.81,1.75,1.81,1.82,1.82,1.82,1.84,1.81,1.81,1.80,1.82,1.81,1.81,1.80,1.78,1.77,1.76,1.74,1.73,1.72,1.71,1.70,1.70,1.69,1.68,1.68,1.67,1.67
