,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Burundi,"14,936","15,370","17,395","19,921","21,764","23,603","25,442","27,278","29,114","30,947","32,780","34,609","36,439","44,376","54,427","65,605","76,630","83,540","91,544","98,955","107,987","117,530","127,785","138,852","170,155","195,525","217,027","239,677","263,472","288,370","322,384","357,904","395,046","433,712","477,771","553,681","683,707","762,964","862,504","936,211","1,051,852","1,147,231","1,281,029","1,368,479","1,408,135","1,444,817","1,529,971","1,583,948","1,630,300","1,694,283","1,696,299","1,698,336","1,700,374","1,808,917","1,880,553","2,019,837","2,032,507","2,061,333","2,088,442","2,122,710","2,269,090","2,708,232","3,046,882","3,339,193","3,569,266","3,599,565","3,629,865","3,759,954","3,885,581","4,004,482","4,120,551","4,232,698","4,339,041","4,438,290","4,534,784","4,629,408","4,720,933","4,807,201","4,891,771","4,975,354","5,057,208","5,136,057","5,212,717","5,287,847"
1,Unique subscribers,1581,Mobile internet,,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,251","89,743","107,702","123,163","135,159","147,326","166,188","183,903","201,849","223,064","249,956","266,213","284,689","301,316","330,609","373,282","398,238","428,603","461,646","499,269","595,263","672,892","786,041","877,768","967,375","1,053,344","1,141,641","1,233,569","1,328,988","1,427,099","1,530,675","1,639,334","1,752,372","1,868,734","1,991,768","2,122,833","2,262,104","2,405,963","2,558,007","2,718,961","2,886,640","3,057,633","3,227,997","3,396,481"
1,Unique subscribers,1582,Mobile internet > 2G,,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,251","89,743","107,702","123,163","135,159","147,326","165,359","181,014","196,580","215,024","238,710","251,333","263,836","276,681","300,182","336,406","353,501","374,573","396,403","420,421","484,395","558,465","663,045","736,695","803,022","861,997","919,033","974,835","1,028,588","1,078,753","1,127,168","1,173,625","1,216,594","1,254,098","1,287,847","1,317,356","1,340,834","1,357,190","1,367,403","1,370,775","1,366,997","1,356,368","1,342,313","1,326,615"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,"2,889","5,269","8,040","11,246","14,880","20,853","24,635","30,427","36,876","44,737","54,030","65,243","78,848","110,868","114,427","122,996","141,073","164,353","191,347","222,608","258,734","300,400","348,346","403,507","465,709","535,778","614,636","703,921","805,477","921,270","1,048,773","1,190,604","1,348,186","1,519,643","1,701,265","1,885,684","2,069,866"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Burundi,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.06,1.06,1.07,1.09,1.10,1.11,1.12,1.13,1.15,1.16,1.17,1.18,1.18,1.19,1.19,1.20,1.20,1.28,1.30,1.20,1.21,1.22,1.23,1.23,1.23,1.23,1.24,1.16,1.30,1.33,1.36,1.38,1.33,1.38,1.39,1.40,1.41,1.41,1.42,1.42,1.43,1.43,1.44,1.44,1.44,1.44,1.45,1.45,1.45,1.45,1.45
