,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Cameroon,"24,465","36,919","56,120","108,587","171,167","237,675","303,270","375,836","442,328","504,814","566,559","647,249","720,867","794,021","897,179","972,696","1,049,354","1,114,883","1,198,241","1,331,567","1,416,861","1,519,893","1,698,205","1,840,983","2,014,312","2,131,488","2,273,867","2,455,910","2,571,308","2,735,354","2,997,881","3,288,838","3,483,819","3,514,756","3,721,024","3,928,188","4,088,891","4,290,011","4,466,083","4,649,579","4,713,585","4,838,027","4,966,908","5,225,432","5,309,225","5,525,355","5,920,095","6,133,685","6,485,920","6,793,554","7,293,171","7,298,048","7,302,925","7,536,083","7,626,985","7,928,813","8,136,386","8,644,509","9,314,788","9,632,934","9,951,081","10,269,227","10,681,029","10,810,527","10,940,025","11,068,115","11,196,206","11,981,484","12,706,772","13,373,371","13,985,367","14,529,164","14,990,265","15,382,175","15,734,866","16,058,878","16,353,720","16,615,694","16,859,244","17,087,683","17,301,028","17,499,049","17,686,266","17,864,976"
1,Unique subscribers,1581,Mobile internet,,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"610,865","676,968","747,363","841,835","913,481","1,012,327","1,153,492","1,269,523","1,422,333","1,573,559","1,779,189","1,871,820","1,963,124","2,114,656","2,228,750","2,406,236","2,558,281","2,808,885","3,125,330","3,367,777","3,629,995","3,930,634","4,318,442","4,925,330","5,601,588","6,264,429","6,850,507","7,335,253","7,766,079","8,147,949","8,504,927","8,846,517","9,176,222","9,495,459","9,817,350","10,146,809","10,486,675","10,838,450","11,215,492","11,624,118","12,064,794","12,521,300","12,953,624","13,371,163"
1,Unique subscribers,1582,Mobile internet > 2G,,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"605,710","671,124","740,756","834,556","905,476","1,003,714","1,144,422","1,259,854","1,412,168","1,562,853","1,768,029","1,859,716","1,950,521","2,101,495","2,214,968","2,391,965","2,543,543","2,793,818","3,108,079","3,293,951","3,473,649","3,629,474","3,831,516","4,222,117","4,652,724","5,061,252","5,383,594","5,663,432","5,902,952","6,098,157","6,268,720","6,419,751","6,549,312","6,652,569","6,736,300","6,798,047","6,831,452","6,827,413","6,782,726","6,687,471","6,534,932","6,332,580","6,098,384","5,867,001"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,155","5,844","6,607","7,279","8,005","8,613","9,070","9,669","10,165","10,706","11,160","12,104","12,603","13,161","13,782","14,271","14,738","15,067","17,251","73,826","156,346","301,160","486,926","703,213","948,864","1,203,177","1,466,913","1,671,821","1,863,127","2,049,792","2,236,207","2,426,766","2,626,910","2,842,890","3,081,050","3,348,762","3,655,223","4,011,037","4,432,766","4,936,647","5,529,862","6,188,720","6,855,240","7,504,162"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Cameroon,1.00,1.00,1.01,1.01,1.02,1.03,1.03,1.04,1.05,1.06,1.06,1.07,1.08,1.09,1.10,1.11,1.12,1.12,1.13,1.15,1.16,1.17,1.19,1.20,1.23,1.24,1.26,1.28,1.29,1.31,1.34,1.38,1.40,1.40,1.43,1.45,1.47,1.50,1.52,1.54,1.54,1.56,1.57,1.60,1.61,1.63,1.69,1.71,1.76,1.79,1.83,1.80,1.83,1.84,1.85,1.86,1.87,1.90,1.91,1.73,1.81,1.90,1.88,1.77,1.78,1.81,1.87,1.82,1.78,1.75,1.72,1.70,1.69,1.69,1.68,1.68,1.69,1.69,1.70,1.70,1.71,1.72,1.72,1.73
