,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Chad,,,"4,146","21,134","25,318","28,203","31,932","34,906","40,500","45,358","49,470","57,313","60,475","66,768","74,050","84,478","103,176","118,566","102,474","120,270","140,170","162,214","184,880","287,743","349,934","371,713","414,566","471,527","550,067","624,677","667,915","760,116","837,958","946,458","1,038,261","1,198,198","1,363,567","1,456,233","1,491,669","1,596,098","1,705,221","1,809,190","1,884,161","2,031,813","2,149,937","2,275,886","2,345,284","2,505,871","2,574,630","2,636,612","2,709,870","2,831,970","2,846,380","2,860,476","2,874,730","3,029,564","3,195,374","3,329,175","3,370,083","3,502,616","3,688,902","3,731,005","3,749,274","3,864,632","3,981,721","4,100,038","4,220,723","4,344,329","4,469,687","4,594,507","4,722,674","4,853,934","4,987,124","5,119,704","5,255,951","5,395,275","5,536,304","5,676,306","5,819,721","5,966,340","6,114,855","6,264,062","6,415,836","6,571,876"
1,Unique subscribers,1581,Mobile internet,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,680","78,667","88,034","101,590","172,525","249,973","327,761","425,998","476,517","527,322","582,399","631,308","751,621","867,303","1,005,734","1,182,268","1,271,090","1,348,894","1,397,820","1,482,664","1,599,766","1,657,357","1,744,210","1,856,555","1,968,546","2,088,167","2,213,112","2,340,799","2,469,797","2,599,941","2,734,090","2,871,535","3,010,930","3,150,239","3,292,794","3,438,774","3,587,502","3,737,068","3,891,552","4,051,330","4,215,770","4,383,806","4,556,490","4,734,769"
1,Unique subscribers,1582,Mobile internet > 2G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,680","78,667","88,034","101,590","172,525","249,973","327,761","425,998","476,517","527,322","582,399","631,308","751,621","867,303","1,005,734","1,182,268","1,271,090","1,348,894","1,384,600","1,462,329","1,558,393","1,592,366","1,624,612","1,680,651","1,734,874","1,794,892","1,858,011","1,921,409","1,983,561","2,044,274","2,106,354","2,169,828","2,234,130","2,296,820","2,360,642","2,425,008","2,488,349","2,547,758","2,605,947","2,661,821","2,713,034","2,757,865","2,797,784","2,834,284"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,220","20,335","41,373","64,991","119,598","175,904","233,672","293,275","355,101","419,390","486,236","555,667","627,736","701,707","776,800","853,419","932,152","1,013,766","1,099,153","1,189,310","1,285,605","1,389,509","1,502,736","1,625,941","1,758,706","1,900,485"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Chad,,,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.02,1.03,1.03,1.04,1.04,1.06,1.08,1.08,1.09,1.10,1.12,1.14,1.14,1.16,1.18,1.21,1.23,1.26,1.30,1.32,1.32,1.35,1.37,1.39,1.40,1.43,1.46,1.48,1.49,1.52,1.53,1.54,1.55,1.57,1.52,1.52,1.56,1.58,1.61,1.63,1.63,1.65,1.67,1.67,1.67,1.68,1.70,1.71,1.73,1.74,1.76,1.77,1.78,1.79,1.80,1.81,1.82,1.83,1.83,1.84,1.84,1.85,1.85,1.86,1.86,1.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03%,4.35%,4.67%,5.00%,8.02%,10.98%,13.98%,17.00%,24.54%,32.00%,39.46%,47.00%,51.03%,54.98%,58.97%,63.00%,63.43%,63.85%,65.33%,65.52%,65.83%,66.10%,66.09%,66.07%,66.03%,65.99%,65.93%,65.89%,65.84%,65.78%,65.72%,65.66%,65.61%,65.53%,65.46%,65.38%,65.29%,65.19%,65.08%,64.97%,64.85%,64.72%,64.59%,64.45%
305,% unique subscribers,1582,Mobile internet > 2G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03%,4.35%,4.67%,5.00%,8.02%,10.98%,13.98%,17.00%,18.51%,20.00%,21.49%,22.29%,26.41%,30.32%,34.99%,39.02%,39.78%,40.52%,41.09%,41.75%,42.25%,42.68%,43.33%,43.49%,43.57%,43.78%,44.02%,44.23%,44.38%,44.49%,44.60%,44.70%,44.80%,44.86%,44.91%,44.95%,44.95%,44.88%,44.78%,44.61%,44.37%,44.03%,43.61%,43.13%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39%,0.58%,1.12%,1.74%,3.19%,4.55%,5.87%,7.15%,8.41%,9.65%,10.88%,12.09%,13.29%,14.46%,15.58%,16.67%,17.74%,18.79%,19.85%,20.95%,22.09%,23.29%,24.58%,25.96%,27.41%,28.92%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Chad,,,,"16,988","4,184","2,885","3,729","2,974","5,594","4,858","4,112","7,843","3,162","6,293","7,282","10,428","18,698","15,390","-16,092","17,796","19,900","22,044","22,666","102,863","62,191","21,779","42,853","56,961","78,540","74,610","43,238","92,201","77,842","108,500","91,803","159,937","165,369","92,666","35,436","104,429","109,123","103,969","74,971","147,652","118,124","125,949","69,398","160,587","68,759","61,982","73,258","122,100","14,410","14,096","14,254","154,834","165,810","133,801","40,908","132,533","186,286","42,103","18,269","115,358","117,089","118,317","120,685","123,606","125,358","124,820","128,167","131,260","133,190","132,580","136,247","139,324","141,029","140,002","143,415","146,619","148,515","149,207","151,774","156,040"
178,"Net additions, unique subscribers",1581,Mobile internet,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,625","9,987","9,367","13,556","70,935","77,448","77,788","98,237","50,519","50,805","55,077","48,909","120,313","115,682","138,431","176,534","88,822","77,804","48,926","84,844","117,102","57,591","86,853","112,345","111,991","119,621","124,945","127,687","128,998","130,144","134,149","137,445","139,395","139,309","142,555","145,980","148,728","149,566","154,484","159,778","164,440","168,036","172,684","178,279"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,625","9,987","9,367","13,556","70,935","77,448","77,788","98,237","50,519","50,805","55,077","48,909","120,313","115,682","138,431","176,534","88,822","77,804","35,706","77,729","96,064","33,973","32,246","56,039","54,223","60,018","63,119","63,398","62,152","60,713","62,080","63,474","64,302","62,690","63,822","64,366","63,341","59,409","58,189","55,874","51,213","44,831","39,919","36,500"
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,115","21,038","23,618","54,607","56,306","57,768","59,603","61,826","64,289","66,846","69,431","72,069","73,971","75,093","76,619","78,733","81,614","85,387","90,157","96,295","103,904","113,227","123,205","132,765","141,779"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
