,"Congo, Democratic Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,"Congo, Democratic Republic","13,009","15,383","17,293","101,817","104,763","111,139","120,936","134,137","174,154","254,932","344,987","429,576","552,648","730,538","938,190","1,164,108","1,306,129","1,458,016","1,605,795","1,708,323","1,834,741","1,955,866","2,142,950","2,335,246","2,539,959","2,799,733","3,154,069","3,455,428","3,802,519","4,168,257","4,592,204","4,894,344","5,082,483","5,455,397","5,951,448","6,297,116","6,479,432","6,640,833","6,901,530","6,936,281","6,971,032","7,005,027","7,347,445","7,657,233","8,026,300","8,369,991","8,912,736","9,272,772","9,586,220","10,155,021","10,685,636","11,549,956","12,263,524","12,940,440","14,005,313","14,916,943","15,836,524","16,855,938","18,559,145","19,821,551","20,228,790","21,575,861","21,742,144","21,908,426","20,647,363","20,272,824","20,598,507","21,055,490","21,495,669","22,091,358","22,758,509","23,389,526","23,959,184","24,512,359","25,065,591","25,613,893","26,152,901","26,675,255","27,196,056","27,710,175","28,213,754","28,703,489","29,186,919","29,661,824"
1,Unique subscribers,1581,Mobile internet,,"Congo, Democratic Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"544,430","593,539","671,375","753,692","846,266","943,250","1,064,111","1,180,105","1,300,761","1,458,923","1,629,332","1,859,971","2,088,331","2,339,434","2,665,909","3,004,259","3,375,380","3,782,851","4,351,336","4,873,662","5,244,653","5,839,219","6,336,143","6,882,762","7,438,407","7,994,050","8,561,656","9,154,143","9,766,932","10,387,543","11,026,217","11,687,100","12,362,008","13,023,950","13,683,233","14,340,056","14,986,942","15,611,653","16,231,602","16,850,769","17,465,127","18,068,612","18,665,200","19,259,690"
1,Unique subscribers,1582,Mobile internet > 2G,,"Congo, Democratic Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"420,017","453,342","508,756","567,580","636,429","707,884","803,101","889,900","978,360","1,100,097","1,227,104","1,402,174","1,571,524","1,741,769","1,979,117","2,209,811","2,466,280","2,751,527","3,173,793","3,536,896","3,746,815","4,142,836","4,429,715","4,739,001","5,032,682","5,299,919","5,548,194","5,784,981","6,001,916","6,183,305","6,344,952","6,488,845","6,610,797","6,710,800","6,803,645","6,892,861","6,976,183","7,048,028","7,117,321","7,184,495","7,246,723","7,300,304","7,347,993","7,392,547"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,"Congo, Democratic Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,413","140,197","162,619","186,112","209,837","235,366","261,010","290,205","322,401","358,826","402,228","457,797","516,807","597,665","686,792","794,448","909,100","1,031,324","1,177,543","1,336,766","1,497,838","1,696,383","1,906,428","2,143,761","2,405,725","2,694,131","3,013,462","3,369,162","3,765,016","4,204,238","4,681,265","5,198,255","5,751,211","6,313,150","6,879,588","7,447,195","8,010,759","8,563,625","9,114,281","9,666,274","10,218,404","10,768,308","11,317,207","11,867,143"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,"Congo, Democratic Republic",1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.03,1.04,1.05,1.06,1.08,1.09,1.10,1.11,1.11,1.12,1.13,1.14,1.15,1.17,1.18,1.21,1.23,1.25,1.28,1.31,1.33,1.34,1.36,1.40,1.42,1.43,1.44,1.45,1.38,1.38,1.45,1.47,1.48,1.50,1.52,1.55,1.57,1.59,1.62,1.64,1.68,1.71,1.74,1.78,1.80,1.83,1.85,1.87,1.88,1.89,1.89,1.94,1.89,1.57,1.55,1.55,1.56,1.58,1.58,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.58,1.58,1.58,1.57,1.57,1.57
