,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Congo,"17,886","20,683","30,759","47,046","48,564","69,747","74,588","80,759","89,780","101,156","114,809","125,718","141,514","154,065","173,458","191,834","211,524","235,045","267,003","309,867","338,531","377,057","412,634","446,681","475,249","508,384","580,873","657,323","694,753","730,112","780,190","843,634","953,705","1,067,412","1,259,308","1,314,572","1,398,701","1,499,706","1,580,369","1,636,013","1,716,160","1,796,308","1,850,848","1,905,139","1,958,577","2,010,029","2,061,223","2,112,132","2,163,043","2,213,761","2,264,122","2,313,943","2,361,930","2,406,391","2,448,137","2,486,337","2,519,889","2,548,631","2,574,411","2,597,958","2,619,826","2,640,412","2,661,239","2,683,144","2,705,484","2,727,039","2,748,054","2,768,752","2,788,898","2,808,073","2,896,264","2,984,455","3,072,646","3,160,837","3,208,924","3,254,764","3,298,106","3,338,184","3,376,781","3,414,098","3,449,958","3,484,105","3,517,140","3,549,220"
1,Unique subscribers,1581,Mobile internet,,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,179","113,706","136,912","157,647","174,021","187,188","201,180","229,649","255,757","284,983","330,312","356,436","383,546","430,536","460,432","497,352","526,668","564,153","597,406","632,136","668,188","698,736","734,023","787,265","834,265","882,470","931,510","981,060","1,030,562","1,079,587","1,129,461","1,180,198","1,231,413","1,282,319","1,334,176","1,386,934","1,440,216","1,493,291","1,547,410","1,601,957","1,656,293","1,710,063","1,763,646","1,817,289"
1,Unique subscribers,1582,Mobile internet > 2G,,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,179","113,706","136,912","157,647","174,021","187,188","201,180","213,197","225,678","243,276","277,463","293,481","309,355","342,775","361,150","379,079","400,213","417,719","436,659","455,059","472,557","491,371","521,449","547,373","576,992","607,078","637,215","667,022","695,922","723,501","750,974","778,332","805,160","830,643","855,918","880,900","905,152","927,887","950,234","972,626","994,960","1,016,868","1,038,914","1,061,444"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,452","30,079","41,707","52,849","62,955","74,191","87,761","99,282","118,273","126,455","146,434","160,747","177,077","195,631","207,365","212,574","239,892","257,273","275,392","294,295","314,038","334,640","356,086","378,487","401,866","426,253","451,676","478,258","506,034","535,064","565,404","597,176","629,331","661,333","693,195","724,732","755,845"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Congo,1.01,1.01,1.02,1.03,1.03,1.05,1.05,1.06,1.06,1.07,1.08,1.09,1.10,1.11,1.12,1.13,1.15,1.16,1.19,1.22,1.24,1.27,1.29,1.32,1.34,1.36,1.41,1.47,1.49,1.51,1.54,1.58,1.64,1.70,1.77,1.78,1.80,1.82,1.82,1.83,1.73,1.82,1.94,1.98,1.97,1.86,1.89,1.84,1.82,1.81,1.88,1.85,1.82,1.87,1.93,1.87,1.89,1.81,1.80,1.77,1.72,1.74,1.70,1.65,1.56,1.60,1.65,1.70,1.74,1.77,1.75,1.74,1.72,1.71,1.71,1.72,1.72,1.72,1.73,1.73,1.74,1.74,1.74,1.75
