,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,C?te d'Ivoire,"302,644","343,271","387,013","434,018","484,534","537,193","591,935","647,175","704,738","771,012","841,722","908,346","982,360","1,079,769","1,105,566","1,131,364","1,231,057","1,288,936","1,376,422","1,444,390","1,508,569","1,677,339","1,788,073","2,010,384","2,059,532","2,216,772","2,714,136","3,136,015","3,525,602","4,032,065","4,419,186","4,914,568","5,189,335","5,514,110","5,846,499","6,201,448","6,494,189","6,626,747","6,744,364","6,938,126","7,068,221","7,337,310","7,708,081","8,085,042","8,206,194","8,244,785","8,451,815","8,633,293","8,797,528","8,867,418","8,938,870","9,071,984","9,167,185","9,236,178","9,336,034","9,552,579","9,814,048","10,007,513","10,167,879","10,475,204","10,825,440","11,422,845","11,792,565","12,234,028","12,884,712","13,535,395","14,453,579","15,077,109","15,558,262","15,866,055","16,098,038","16,312,000","16,508,843","16,667,631","16,808,897","16,944,528","17,073,207","17,187,954","17,296,560","17,402,512","17,504,927","17,600,953","17,691,414","17,777,760"
1,Unique subscribers,1581,Mobile internet,,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403,126","452,809","516,495","590,208","652,881","712,399","792,446","877,464","967,358","1,052,442","1,162,967","1,317,708","1,515,698","1,756,104","2,011,723","2,338,701","2,649,373","2,983,212","3,305,786","3,660,982","4,268,500","4,751,110","5,167,940","5,595,058","6,042,685","6,520,007","6,998,091","7,448,790","7,847,173","8,197,612","8,524,440","8,838,562","9,138,470","9,418,176","9,688,821","9,954,104","10,212,449","10,459,385","10,702,390","10,942,750","11,179,038","11,409,268","11,635,730","11,860,470"
1,Unique subscribers,1582,Mobile internet > 2G,,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403,126","452,809","516,495","590,208","652,881","712,399","792,446","877,464","967,358","1,051,773","1,136,359","1,226,272","1,301,731","1,357,901","1,417,061","1,480,188","1,537,748","1,561,520","1,576,211","1,617,785","1,541,762","1,642,339","1,734,164","1,831,213","1,934,819","2,047,981","2,160,217","2,262,611","2,345,187","2,408,613","2,465,188","2,520,204","2,572,161","2,616,652","2,660,142","2,704,411","2,748,097","2,788,051","2,828,893","2,871,184","2,913,669","2,954,805","2,995,738","3,037,484"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,"26,608","91,436","213,967","398,203","594,662","858,513","1,111,625","1,421,692","1,729,575","2,043,197","2,726,738","3,108,771","3,433,776","3,763,845","4,107,866","4,472,026","4,837,874","5,186,179","5,501,986","5,788,999","6,059,252","6,318,358","6,566,309","6,801,524","7,028,679","7,249,693","7,464,352","7,671,334","7,873,497","8,071,566","8,265,369","8,454,463","8,639,992","8,822,986"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,C?te d'Ivoire,1.03,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.06,1.06,1.07,1.07,1.08,1.09,1.03,1.09,1.10,1.11,1.11,1.12,1.12,1.14,1.15,1.17,1.17,1.19,1.23,1.27,1.31,1.37,1.41,1.47,1.50,1.53,1.57,1.61,1.65,1.67,1.68,1.70,1.72,1.75,1.80,1.84,1.85,1.85,1.88,1.91,1.93,1.94,1.94,1.96,1.97,1.97,1.98,2.01,2.04,2.06,2.07,2.09,2.10,2.09,2.07,2.05,2.00,1.97,1.90,1.86,1.84,1.83,1.82,1.82,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70%,6.17%,6.70%,7.30%,7.96%,8.64%,9.38%,10.16%,11.00%,11.87%,12.92%,14.05%,15.37%,17.81%,20.83%,24.02%,26.38%,28.38%,30.28%,32.22%,34.00%,35.62%,37.16%,38.70%,40.28%,41.82%,43.34%,44.86%,46.36%,47.84%,49.32%,50.77%,52.20%,53.57%,54.91%,56.21%,57.46%,58.66%,59.81%,60.94%,62.04%,63.12%,64.17%,65.20%
305,% unique subscribers,1582,Mobile internet > 2G,,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70%,6.17%,6.70%,7.30%,7.96%,8.64%,9.38%,10.16%,11.00%,11.86%,12.71%,13.52%,14.20%,14.70%,15.18%,15.50%,15.67%,15.60%,15.50%,15.44%,14.24%,14.38%,14.71%,14.97%,15.02%,15.13%,14.95%,15.01%,15.07%,15.18%,15.31%,15.45%,15.58%,15.70%,15.83%,15.96%,16.10%,16.22%,16.36%,16.50%,16.64%,16.79%,16.93%,17.09%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.30%,1.01%,2.33%,4.31%,6.37%,8.99%,11.33%,14.21%,17.01%,19.51%,25.19%,27.22%,29.12%,30.77%,31.88%,33.04%,33.47%,34.40%,35.36%,36.49%,37.64%,38.73%,39.77%,40.81%,41.82%,42.78%,43.72%,44.63%,45.52%,46.38%,47.22%,48.03%,48.84%,49.63%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
