,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Gabon,"23,829","41,554","49,657","60,165","70,454","80,859","91,413","101,757","111,892","122,711","134,578","147,800","162,106","178,024","195,878","215,410","235,708","251,752","270,092","289,875","311,918","334,921","356,860","377,146","391,684","412,176","433,404","451,207","478,483","514,217","559,898","585,486","604,315","648,597","693,299","729,779","770,432","836,323","881,401","922,780","950,591","971,031","989,714","1,004,934","1,011,736","1,023,169","1,034,579","1,045,819","1,056,822","1,067,532","1,078,112","1,088,491","1,098,501","1,107,991","1,117,204","1,126,098","1,134,691","1,142,992","1,151,176","1,159,240","1,167,218","1,175,136","1,183,141","1,191,252","1,199,517","1,207,836","1,216,152","1,224,440","1,232,680","1,240,836","1,249,006","1,257,142","1,265,225","1,273,226","1,281,240","1,289,215","1,297,132","1,304,968","1,312,815","1,320,616","1,328,355","1,336,024","1,343,684","1,351,291"
1,Unique subscribers,1581,Mobile internet,,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,642","98,456","109,151","120,592","131,911","147,712","161,919","181,436","197,346","214,010","232,448","249,731","268,860","288,268","307,516","327,662","343,002","358,150","373,527","389,539","406,935","425,109","441,891","458,913","475,989","493,316","511,023","529,139","547,543","565,971","584,747","603,757","622,855","641,812","661,055","680,565","700,231","719,731","739,344","759,086","778,869","798,611","818,485","838,408"
1,Unique subscribers,1582,Mobile internet > 2G,,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,642","98,456","109,151","120,592","131,911","147,712","161,919","181,436","197,346","214,010","232,448","249,731","268,860","288,268","307,516","327,662","339,911","351,763","363,422","374,874","387,039","398,208","409,007","418,817","428,329","437,388","446,110","454,543","462,563","470,012","477,227","484,221","490,891","497,007","502,810","508,219","513,060","517,227","521,211","524,870","528,005","530,422","532,148","533,564"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,091","6,387","10,105","14,665","19,896","26,901","32,884","40,096","47,660","55,928","64,913","74,596","84,980","95,959","107,520","119,536","131,964","144,805","158,245","172,346","187,171","202,504","218,133","234,216","250,864","268,189","286,337","304,844"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Gabon,1.04,1.08,1.09,1.11,1.13,1.15,1.17,1.19,1.21,1.23,1.26,1.28,1.31,1.34,1.38,1.42,1.46,1.48,1.52,1.55,1.59,1.62,1.65,1.68,1.70,1.72,1.74,1.76,1.78,1.80,1.82,1.83,1.83,1.82,1.80,1.78,1.76,1.72,1.70,1.70,1.70,1.71,1.71,1.72,1.72,1.79,1.80,1.93,1.95,1.97,2.03,2.00,2.02,2.11,2.18,2.24,2.22,2.21,2.20,2.20,2.15,2.03,2.07,2.08,2.05,2.06,2.12,2.16,2.18,2.20,2.20,2.21,2.22,2.22,2.23,2.23,2.23,2.24,2.24,2.24,2.24,2.24,2.24,2.24
