,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Gambia,"5,201","5,459","5,637","5,678","5,906","5,965","6,104","17,766","29,185","41,230","54,693","71,100","87,305","103,016","118,155","131,733","133,105","145,363","156,346","165,870","177,383","185,792","194,613","207,134","238,450","270,137","293,893","316,875","341,741","390,542","438,487","490,386","530,249","561,259","598,515","603,386","632,024","649,540","674,400","684,868","696,792","709,672","725,452","765,932","787,524","810,509","834,638","859,805","923,418","1,067,545","1,103,380","1,139,216","1,175,052","1,223,465","1,242,437","1,258,224","1,273,748","1,283,957","1,294,398","1,304,840","1,315,281","1,325,723","1,336,388","1,347,052","1,357,717","1,368,381","1,379,273","1,390,166","1,401,058","1,411,951","1,423,079","1,434,207","1,445,335","1,456,463","1,467,840","1,479,218","1,490,594","1,501,972","1,513,607","1,525,243","1,536,878","1,548,513","1,560,406","1,572,299"
1,Unique subscribers,1581,Mobile internet,,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,947","115,377","123,371","135,096","144,937","155,050","165,636","176,663","196,629","228,273","240,805","253,713","287,065","322,037","346,333","371,344","403,989","421,526","439,811","458,586","478,337","498,315","519,023","540,339","562,061","584,120","606,901","630,625","655,238","680,487","707,036","734,968","764,258","794,354","825,683","857,960","890,819","923,269","955,167","986,341","1,016,821","1,046,647","1,075,609","1,103,777"
1,Unique subscribers,1582,Mobile internet > 2G,,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,457","113,932","121,970","133,729","142,317","150,974","159,876","169,006","181,822","204,464","211,653","218,796","238,725","258,985","272,082","284,967","297,939","306,152","314,284","322,339","329,946","337,143","344,172","350,968","357,472","363,559","369,250","374,413","378,887","382,493","385,330","387,139","387,709","387,046","385,369","382,636","378,903","374,604","370,447","366,406","362,353","358,158","354,376","350,915"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,490","1,445","1,401","1,367","2,620","4,076","5,760","7,657","14,807","23,809","29,152","34,917","48,340","63,052","74,251","86,377","106,050","115,374","125,527","136,247","148,391","161,172","174,851","189,371","204,589","220,561","237,651","256,212","276,351","297,994","321,706","347,829","376,549","407,308","440,314","475,324","511,916","548,665","584,720","619,935","654,468","688,489","721,233","752,862"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Gambia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.02,1.03,1.04,1.06,1.07,1.08,1.10,1.11,1.11,1.12,1.13,1.14,1.15,1.15,1.16,1.17,1.20,1.24,1.26,1.29,1.32,1.38,1.46,1.57,1.66,1.71,1.76,1.76,1.79,1.80,1.81,1.81,1.82,1.82,1.82,1.82,1.81,1.80,1.79,1.78,1.74,1.65,1.58,1.57,1.64,1.69,1.72,1.75,1.91,1.93,1.94,1.96,1.98,2.01,2.03,2.05,2.07,2.08,2.10,2.11,2.12,2.12,2.13,2.14,2.14,2.15,2.15,2.15,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
