,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Ghana,"131,380","130,715","130,372","151,028","169,366","189,062","215,300","231,160","252,063","290,081","333,205","376,784","454,004","548,518","657,217","795,808","872,924","1,040,025","1,222,489","1,419,261","1,636,009","1,897,391","2,227,083","2,457,063","2,795,698","2,953,236","3,498,887","3,838,908","4,207,969","4,583,466","5,092,895","5,534,263","6,006,067","6,480,771","6,903,420","7,301,765","7,621,839","8,153,821","8,315,451","8,656,265","8,883,060","9,111,834","9,229,464","9,347,094","9,563,226","10,100,763","10,656,705","10,961,775","11,266,175","12,306,968","13,330,085","13,925,527","14,650,414","15,152,110","15,685,648","15,936,363","16,285,418","16,629,074","16,882,294","17,201,289","17,521,202","17,894,498","18,122,961","18,365,831","18,517,351","18,659,797","18,780,482","18,902,814","19,023,966","19,143,603","19,262,849","19,381,893","19,499,757","19,615,238","19,729,927","19,844,466","19,958,374","20,070,432","20,182,104","20,293,620","20,404,721","20,514,788","20,624,264","20,733,212"
1,Unique subscribers,1581,Mobile internet,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,522,335","1,713,822","1,902,194","2,096,913","2,357,351","2,720,822","3,110,839","3,453,506","3,822,559","4,364,408","4,911,128","5,394,165","6,147,423","6,817,010","7,288,880","7,705,749","7,957,422","8,221,604","8,489,699","8,830,571","9,202,051","9,691,223","10,049,688","10,383,498","10,712,399","11,025,666","11,333,118","11,643,783","11,950,865","12,245,293","12,536,418","12,825,810","13,110,459","13,382,313","13,650,174","13,915,464","14,176,303","14,428,318","14,678,720","14,927,489","15,172,950","15,413,197","15,650,806","15,887,668"
1,Unique subscribers,1582,Mobile internet > 2G,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,373,025","1,536,503","1,689,212","1,858,927","2,050,440","2,339,809","2,648,658","2,908,432","3,166,862","3,599,536","4,027,653","4,385,048","4,391,362","4,327,142","4,742,675","5,103,505","5,286,988","5,480,636","5,553,777","5,660,436","5,767,980","5,937,689","5,989,640","5,993,060","5,959,358","5,879,821","5,761,452","5,613,837","5,453,082","5,276,588","5,091,985","4,903,546","4,712,953","4,533,165","4,365,352","4,208,657","4,061,529","3,920,549","3,788,507","3,668,527","3,558,093","3,455,107","3,358,893","3,272,850"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,310","177,319","212,982","237,986","306,911","381,013","462,181","545,074","655,697","764,872","883,475","1,009,117","1,756,061","2,489,868","2,546,205","2,602,244","2,670,434","2,740,968","2,935,922","3,170,135","3,434,071","3,753,534","4,060,048","4,390,438","4,753,041","5,145,845","5,571,666","6,029,946","6,497,783","6,968,705","7,444,433","7,922,264","8,397,506","8,849,148","9,284,822","9,706,807","10,114,774","10,507,769","10,890,213","11,258,962","11,614,857","11,958,090","12,291,913","12,614,818"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Ghana,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.04,1.04,1.05,1.06,1.07,1.09,1.10,1.12,1.13,1.15,1.16,1.20,1.22,1.25,1.28,1.32,1.36,1.40,1.45,1.50,1.56,1.61,1.69,1.70,1.73,1.75,1.76,1.71,1.77,1.78,1.81,1.82,1.82,1.82,1.78,1.73,1.70,1.67,1.66,1.64,1.64,1.64,1.64,1.64,1.64,1.65,1.68,1.70,1.74,1.77,1.80,1.82,1.83,1.85,1.86,1.87,1.88,1.88,1.89,1.89,1.90,1.90,1.90,1.90,1.91,1.91,1.91,1.91,1.91
