,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Guinea,"31,680","36,075","40,544","45,089","49,707","54,402","59,170","63,696","67,916","72,213","76,963","82,545","89,331","97,359","106,279","115,873","125,925","137,070","149,015","161,696","175,061","189,056","203,636","217,437","235,315","361,671","442,760","546,107","647,308","739,311","908,653","1,290,362","1,636,257","1,835,033","2,150,046","2,382,399","2,402,312","2,422,224","2,442,137","2,462,049","2,637,231","2,769,625","2,820,768","2,951,184","3,176,694","3,345,476","3,369,268","3,393,060","3,416,852","3,478,074","3,577,859","3,582,960","3,735,075","3,910,761","4,048,319","4,307,348","4,756,183","4,990,523","5,144,956","5,287,882","5,417,530","5,531,512","5,633,841","5,717,306","5,783,037","5,844,003","5,914,215","5,996,752","6,084,135","6,174,307","6,319,001","6,453,364","6,568,076","6,667,516","6,759,556","6,848,922","6,934,112","7,010,459","7,082,586","7,152,489","7,219,323","7,281,174","7,338,577","7,392,843"
1,Unique subscribers,1581,Mobile internet,,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,231","60,246","63,667","69,072","77,080","84,026","89,288","92,680","97,519","106,217","117,935","128,152","256,357","395,121","541,806","720,594","871,523","985,151","1,066,611","1,175,580","1,308,186","1,452,362","1,597,982","1,736,994","1,877,321","2,012,444","2,146,911","2,286,098","2,428,921","2,570,472","2,715,298","2,863,826","3,014,654","3,165,376","3,321,214","3,484,922","3,657,057","3,828,917","3,998,721","4,164,264","4,323,729","4,476,929","4,625,605","4,770,866"
1,Unique subscribers,1582,Mobile internet > 2G,,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,231","60,246","63,667","69,072","77,080","84,026","89,288","92,264","95,498","98,537","104,139","106,860","225,836","353,446","487,561","650,392","776,062","866,085","926,226","1,011,887","1,114,511","1,219,778","1,316,755","1,415,415","1,505,242","1,586,202","1,661,249","1,733,510","1,801,204","1,860,378","1,914,324","1,964,070","2,008,112","2,043,119","2,070,374","2,087,390","2,090,218","2,082,177","2,071,214","2,060,609","2,051,110","2,041,065","2,030,707","2,020,763"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,"2,021","7,680","13,796","21,292","30,521","41,675","54,245","70,202","95,461","119,066","140,385","163,693","193,675","232,584","281,227","321,579","372,079","426,242","485,662","552,588","627,717","710,094","800,974","899,756","1,006,542","1,122,257","1,250,840","1,397,532","1,566,839","1,746,740","1,927,507","2,103,655","2,272,619","2,435,864","2,594,898","2,750,103"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Guinea,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.04,1.05,1.06,1.07,1.08,1.10,1.15,1.20,1.23,1.28,1.32,1.38,1.36,1.38,1.32,1.35,1.38,1.38,1.41,1.46,1.50,1.55,1.54,1.50,1.51,1.54,1.53,1.58,1.63,1.66,1.72,1.79,1.81,1.78,1.81,1.86,1.91,1.93,1.84,1.84,1.80,1.78,1.79,1.79,1.80,1.79,1.78,1.78,1.77,1.77,1.76,1.76,1.75,1.75,1.75,1.75,1.75,1.75,1.74
