,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Kenya,"15,711","19,886","108,021","154,091","200,791","286,472","378,764","510,513","609,603","711,141","804,294","979,727","1,144,910","1,335,470","1,529,260","1,767,952","1,987,439","2,235,627","2,545,851","2,891,502","3,293,022","3,710,684","4,119,640","4,501,842","4,922,597","5,294,363","5,359,544","5,863,151","6,538,946","7,124,063","7,952,520","8,336,773","8,708,081","9,288,882","10,251,489","11,149,941","11,448,014","11,767,318","12,133,190","12,582,557","13,113,048","13,253,917","14,299,854","16,053,593","16,216,385","16,253,295","17,071,167","18,256,675","19,190,387","19,596,279","20,250,119","20,482,315","20,603,187","20,724,059","20,844,930","21,042,096","21,239,262","21,589,783","22,054,670","22,876,345","23,309,116","24,343,022","25,779,893","25,896,638","26,013,383","26,130,128","26,829,536","27,465,397","27,930,854","28,333,748","28,708,127","29,071,609","29,419,515","29,736,786","30,042,036","30,341,640","30,631,269","30,901,771","31,166,715","31,429,482","31,687,306","31,935,541","32,177,221","32,415,639"
1,Unique subscribers,1581,Mobile internet,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,007,874","8,339,833","9,213,400","10,586,037","10,956,256","11,238,730","12,068,485","13,178,495","14,125,583","14,689,164","15,441,930","15,882,289","16,237,279","16,583,176","16,929,179","17,342,895","17,572,760","17,931,118","18,387,401","19,145,477","19,581,667","20,525,309","21,488,530","22,261,943","22,912,874","23,463,859","23,957,663","24,434,070","24,885,247","25,288,840","25,675,160","26,059,575","26,437,790","26,794,741","27,147,577","27,501,185","27,852,011","28,189,910","28,526,914","28,863,873","29,197,109","29,522,668","29,844,171","30,165,445"
1,Unique subscribers,1582,Mobile internet > 2G,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,148,954","7,288,585","8,126,398","9,452,013","9,782,951","10,018,862","10,768,416","11,788,091","12,630,220","13,095,949","13,739,642","14,079,771","14,293,894","14,499,881","14,701,609","14,838,886","14,859,711","14,948,703","15,119,276","15,537,961","15,694,650","16,264,006","16,837,674","17,193,871","17,429,295","17,553,508","17,606,342","17,624,494","17,601,908","17,520,524","17,409,195","17,283,290","17,140,995","16,972,129","16,793,741","16,609,727","16,416,629","16,211,208","16,009,616","15,810,732","15,610,150","15,403,492","15,192,232","14,977,814"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,920","1,051,248","1,087,002","1,134,024","1,173,305","1,219,868","1,300,069","1,390,404","1,495,363","1,593,215","1,702,288","1,802,518","1,943,385","2,083,295","2,227,570","2,504,009","2,713,049","2,982,415","3,268,125","3,607,516","3,887,017","4,261,303","4,650,856","5,068,072","5,483,579","5,910,351","6,351,321","6,809,576","7,283,339","7,768,316","8,265,965","8,776,285","9,296,795","9,822,612","10,353,836","10,891,458","11,435,382","11,978,702","12,517,298","13,053,141","13,586,959","14,119,176","14,651,939","15,187,631"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Kenya,1.00,1.00,1.00,1.01,1.01,1.01,1.02,1.02,1.03,1.03,1.03,1.04,1.05,1.06,1.06,1.07,1.08,1.09,1.11,1.12,1.14,1.16,1.18,1.19,1.21,1.23,1.23,1.25,1.28,1.31,1.35,1.36,1.38,1.40,1.44,1.47,1.47,1.48,1.49,1.50,1.52,1.52,1.54,1.56,1.56,1.56,1.55,1.54,1.52,1.52,1.50,1.50,1.45,1.47,1.50,1.49,1.50,1.49,1.49,1.47,1.46,1.45,1.43,1.40,1.41,1.43,1.42,1.42,1.41,1.41,1.41,1.41,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40
