,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Lesotho,"5,043","6,969","9,624","13,283","18,318","25,233","32,091","38,893","45,641","75,303","90,238","86,612","82,954","83,393","83,812","90,732","95,664","112,508","129,030","139,652","149,833","158,884","170,237","182,462","197,400","209,573","222,506","239,642","254,175","270,432","293,935","318,327","334,362","347,251","361,662","381,312","395,301","415,088","439,675","471,291","494,363","543,278","592,082","643,404","673,763","702,928","743,998","801,343","829,819","859,267","888,544","917,967","947,215","975,657","1,004,244","1,032,970","1,061,520","1,089,280","1,117,177","1,145,206","1,173,059","1,200,136","1,227,344","1,254,675","1,287,948","1,317,764","1,344,740","1,369,841","1,392,975","1,413,703","1,432,954","1,450,920","1,467,458","1,482,331","1,496,120","1,508,930","1,520,403","1,530,373","1,539,296","1,547,325","1,554,514","1,560,941","1,566,719","1,571,988"
1,Unique subscribers,1581,Mobile internet,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,769","24,525","29,162","34,176","39,048","44,683","51,907","61,206","69,129","86,814","99,105","113,048","126,602","141,810","154,638","170,161","188,528","205,706","219,477","240,453","256,939","273,979","292,886","318,751","345,474","375,174","407,144","440,205","473,653","507,357","541,486","575,334","608,634","639,996","670,302","699,702","728,021","754,876","780,892","806,174","830,607","854,084","876,856","899,142"
1,Unique subscribers,1582,Mobile internet > 2G,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,255","15,109","18,369","22,230","25,785","29,590","34,343","40,436","45,593","56,008","62,692","69,822","76,517","83,607","89,025","95,164","105,169","115,181","126,386","135,639","146,334","156,618","166,611","179,716","192,095","204,352","215,881","226,015","234,338","240,848","246,251","250,965","254,794","258,192","261,510","264,714","267,683","270,200","272,451","274,403","275,962","277,055","277,760","278,185"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,514","9,416","10,793","11,946","13,263","15,093","17,564","20,770","23,536","30,806","36,413","43,226","50,085","58,203","65,613","74,997","83,359","90,525","93,091","104,814","110,605","117,361","126,275","139,035","153,379","170,822","191,263","214,190","239,315","266,509","295,235","324,369","353,840","381,804","408,792","434,988","460,338","484,676","508,441","531,771","554,645","577,029","599,096","620,957"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Lesotho,1.00,1.00,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.05,1.06,1.05,1.05,1.05,1.05,1.06,1.06,1.07,1.08,1.09,1.09,1.10,1.11,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.19,1.20,1.22,1.22,1.23,1.25,1.26,1.27,1.29,1.31,1.32,1.36,1.38,1.41,1.43,1.44,1.46,1.47,1.47,1.60,1.51,1.59,1.57,1.56,1.52,1.57,1.57,1.53,1.33,1.47,1.39,1.35,1.35,1.40,1.40,1.40,1.41,1.41,1.42,1.43,1.43,1.44,1.45,1.46,1.47,1.47,1.48,1.49,1.51,1.52,1.53,1.54,1.55,1.57
