,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Liberia,,,,,,"2,261","5,241","8,539","12,152","16,079","20,316","24,862","29,714","34,572","39,535","45,193","52,129","61,065","71,043","90,233","117,615","141,479","152,462","184,812","222,702","277,221","318,340","355,477","427,843","451,229","463,905","485,913","534,231","587,192","623,454","667,293","710,486","743,577","818,522","856,754","907,841","957,948","1,004,321","1,038,973","1,085,376","1,133,568","1,190,623","1,235,757","1,266,585","1,288,467","1,311,614","1,356,297","1,378,535","1,395,892","1,410,956","1,432,236","1,445,298","1,458,360","1,472,781","1,486,524","1,503,894","1,507,639","1,511,384","1,548,405","1,597,239","1,640,076","1,676,572","1,711,780","1,746,650","1,779,214","1,810,972","1,842,180","1,872,444","1,901,073","1,929,272","1,957,270","1,984,721","2,010,947","2,036,956","2,062,906","2,088,564","2,113,537","2,138,079","2,162,373"
1,Unique subscribers,1581,Mobile internet,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,065","37,453","40,867","43,978","53,858","64,252","75,933","87,776","99,309","111,553","128,260","147,417","185,836","228,790","277,544","333,667","364,777","396,446","426,784","456,216","488,990","517,654","550,286","583,006","616,784","651,233","686,385","722,132","757,925","793,189","828,621","863,996","898,859","932,802","966,506","999,847","1,032,574","1,064,265","1,095,554","1,126,347","1,156,397","1,185,513","1,213,899","1,241,695"
1,Unique subscribers,1582,Mobile internet > 2G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,879","35,122","38,399","41,376","50,691","60,591","71,822","83,146","94,015","104,347","115,381","128,297","160,083","195,580","236,072","283,419","306,312","326,844","346,626","364,982","386,436","402,416","421,307","440,612","459,379","477,758","495,650","512,802","529,129","544,597","559,804","574,502","588,578","601,631","614,282","626,387","637,688","647,793","657,264","665,996","673,749","680,353","685,969","690,693"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,186","2,331","2,468","2,602","3,167","3,661","4,111","4,630","5,294","7,206","12,879","19,120","25,753","33,210","41,472","50,248","58,465","69,602","80,158","91,234","102,554","115,238","128,979","142,394","157,405","173,475","190,735","209,330","228,796","248,592","268,817","289,494","310,281","331,171","352,224","373,460","394,886","416,472","438,290","460,351","482,648","505,160","527,930","551,002"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Liberia,,,,,,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.04,1.05,1.05,1.06,1.07,1.09,1.11,1.12,1.15,1.15,1.16,1.16,1.18,1.20,1.21,1.23,1.25,1.26,1.29,1.31,1.33,1.35,1.38,1.39,1.42,1.44,1.48,1.51,1.53,1.55,1.56,1.60,1.61,1.62,1.63,1.64,1.67,1.65,1.65,1.65,1.66,1.65,1.65,1.67,1.70,1.72,1.73,1.74,1.75,1.76,1.77,1.78,1.79,1.79,1.80,1.80,1.81,1.81,1.81,1.81,1.82,1.82,1.82,1.82
