,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Madagascar,"34,523","41,540","51,210","43,454","73,345","82,490","91,681","100,860","110,026","119,181","128,323","137,456","146,575","164,105","239,680","282,707","301,137","316,285","329,062","342,120","355,700","386,153","430,720","490,330","549,989","646,216","770,052","990,974","1,112,922","1,308,303","1,536,165","1,839,556","2,215,723","2,548,683","2,912,948","3,273,292","3,420,894","3,569,972","3,648,677","3,847,811","3,902,419","3,957,026","4,112,027","4,231,707","4,261,704","4,292,544","4,325,322","4,359,620","4,395,748","4,433,945","4,475,391","4,519,793","4,567,415","4,618,165","4,673,813","4,734,047","4,799,034","4,867,625","4,941,246","5,019,238","5,101,262","5,186,242","5,276,749","5,372,090","5,471,766","5,575,107","5,683,788","5,855,297","6,034,486","6,222,467","6,419,435","6,620,595","6,824,676","7,028,976","7,239,544","7,455,703","7,675,738","7,895,227","8,120,014","8,347,597","8,575,588","8,802,380","9,030,875","9,263,443"
1,Unique subscribers,1581,Mobile internet,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260,730","294,006","336,023","376,094","427,933","471,264","520,344","577,538","640,538","644,228","701,665","759,942","822,320","883,474","951,472","1,010,841","1,087,365","1,178,137","1,288,579","1,396,114","1,482,001","1,576,372","1,682,695","1,795,723","1,909,750","2,028,058","2,152,114","2,283,095","2,420,389","2,561,843","2,709,567","2,863,009","3,020,842","3,180,624","3,345,461","3,515,354","3,689,472","3,865,662","4,047,340","4,234,483","4,425,410","4,618,939","4,816,263","5,018,646"
1,Unique subscribers,1582,Mobile internet > 2G,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226,639","244,698","270,746","293,884","322,167","342,659","363,388","383,817","404,197","438,532","462,758","487,908","512,497","537,053","560,424","586,891","623,942","672,885","737,754","794,961","826,377","863,438","910,630","955,950","998,535","1,039,066","1,078,544","1,118,195","1,157,487","1,194,430","1,231,362","1,268,245","1,304,586","1,339,019","1,373,896","1,408,901","1,443,075","1,474,420","1,505,471","1,535,755","1,564,626","1,591,113","1,616,370","1,640,803"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,091","49,308","65,277","82,210","105,766","128,605","156,956","193,721","236,341","205,696","238,907","272,034","309,823","346,421","391,048","423,950","463,423","505,252","550,825","601,153","655,624","712,934","772,065","839,773","911,215","988,992","1,073,570","1,164,900","1,262,902","1,367,413","1,478,205","1,594,764","1,716,256","1,841,605","1,971,565","2,106,453","2,246,397","2,391,242","2,541,869","2,698,728","2,860,784","3,027,826","3,199,893","3,377,843"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Madagascar,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.11,1.13,1.15,1.18,1.20,1.20,1.21,1.22,1.23,1.21,1.23,1.24,1.24,1.31,1.38,1.42,1.44,1.47,1.28,1.28,1.28,1.26,1.25,1.21,1.21,1.21,1.24,1.30,1.33,1.32,1.32,1.33,1.31,1.28,1.26,1.28,1.29,1.29,1.30,1.31,1.32,1.32,1.33,1.34,1.34,1.35,1.36,1.36,1.37,1.38,1.38,1.39,1.40
