,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Malawi,"21,592","25,514","29,671","34,083","38,769","43,755","47,800","52,263","57,190","62,941","69,524","76,948","84,751","93,104","102,955","115,240","130,560","148,076","167,697","189,329","215,692","243,738","277,724","321,772","377,048","437,760","485,046","550,639","586,177","683,367","779,491","871,434","996,667","1,207,573","1,416,411","1,553,381","1,656,726","1,828,100","1,947,352","2,008,665","2,132,686","2,258,208","2,385,598","2,514,992","2,622,148","2,732,001","2,844,931","2,961,013","3,062,934","3,158,061","3,247,766","3,331,750","3,413,068","3,488,197","3,553,009","3,627,570","3,740,010","3,853,590","3,942,889","4,017,045","4,111,188","4,204,875","4,298,365","4,389,986","4,477,824","4,560,732","4,640,489","4,719,607","4,797,888","4,873,299","4,948,537","5,023,569","5,097,667","5,169,390","5,241,161","5,312,847","5,383,782","5,452,636","5,521,623","5,590,544","5,658,765","5,725,666","5,792,089","5,858,422"
1,Unique subscribers,1581,Mobile internet,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,560","148,712","171,330","196,267","223,094","252,511","285,552","322,111","360,122","400,414","443,249","488,610","536,485","585,846","636,642","692,024","774,275","860,367","946,477","1,033,690","1,126,738","1,223,270","1,325,257","1,431,591","1,541,671","1,655,285","1,773,773","1,898,603","2,028,722","2,161,560","2,298,327","2,437,791","2,579,542","2,718,841","2,856,896","2,992,535","3,125,330","3,253,886","3,381,183","3,507,224","3,631,167","3,752,405","3,872,216","3,991,592"
1,Unique subscribers,1582,Mobile internet > 2G,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,476","145,107","164,374","185,559","206,524","228,941","253,331","279,808","306,521","333,795","361,837","390,721","420,465","449,951","479,166","510,776","564,203","617,727","667,919","715,486","764,110","811,248","858,121","903,131","945,009","982,643","1,016,032","1,044,800","1,067,688","1,083,211","1,093,894","1,100,213","1,100,626","1,096,541","1,091,353","1,086,422","1,081,037","1,074,021","1,066,941","1,059,785","1,052,240","1,043,677","1,034,414","1,024,590"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,084","3,605","6,956","10,708","16,570","23,570","32,221","42,303","53,601","66,619","81,412","97,889","116,020","135,895","157,476","181,248","210,072","242,640","278,558","318,204","362,628","412,022","467,136","528,460","596,662","672,642","757,741","853,803","961,034","1,078,349","1,204,433","1,337,578","1,478,916","1,622,300","1,765,543","1,906,113","2,044,293","2,179,865","2,314,242","2,447,439","2,578,927","2,708,728","2,837,802","2,967,002"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Malawi,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.04,1.04,1.05,1.05,1.06,1.07,1.07,1.08,1.10,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.19,1.20,1.21,1.22,1.23,1.23,1.24,1.25,1.25,1.26,1.26,1.27,1.27,1.27,1.28,1.29,1.29,1.29,1.30,1.30,1.31,1.31,1.31,1.32,1.32,1.32,1.33,1.33,1.33,1.33,1.34,1.34,1.34,1.34,1.34,1.35,1.35,1.35,1.35,1.35,1.35,1.35
