,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Mali,,,,"7,982","13,343","19,070","25,316","32,311","41,349","51,906","64,626","80,429","105,270","152,339","185,495","242,342","273,321","307,178","348,617","394,164","462,712","526,393","614,313","719,657","848,589","1,027,969","1,166,966","1,357,366","1,525,168","1,683,988","1,856,274","2,135,414","2,297,343","2,421,150","2,584,302","2,741,434","2,820,919","2,949,126","3,135,793","3,282,523","3,462,186","3,960,548","4,339,688","4,573,012","4,855,050","5,338,974","5,793,297","6,083,221","6,294,813","6,872,673","7,693,793","8,410,879","8,870,926","9,332,859","9,796,604","10,246,441","10,661,359","11,018,226","11,314,481","11,398,886","11,467,587","11,536,288","11,604,988","11,673,689","11,742,390","11,811,091","11,239,191","11,840,573","12,144,270","12,284,296","12,378,559","12,472,822","12,567,085","12,661,349","12,758,228","12,855,108","12,951,987","13,048,866","13,148,059","13,247,252","13,346,444","13,445,636","13,547,114","13,648,592"
1,Unique subscribers,1581,Mobile internet,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,147","203,517","281,585","345,193","404,452","466,767","538,488","609,488","687,924","802,605","935,269","1,067,491","1,213,614","1,383,736","1,511,881","1,739,333","1,880,653","2,111,260","2,301,926","2,491,248","2,669,524","2,869,105","3,160,385","3,445,393","3,692,910","3,901,046","4,114,118","4,322,443","4,543,889","4,763,179","4,983,836","5,205,093","5,424,701","5,637,022","5,846,343","6,052,354","6,255,045","6,453,299","6,651,012","6,847,381","7,041,944","7,234,242","7,426,650","7,619,107"
1,Unique subscribers,1582,Mobile internet > 2G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,147","171,451","195,764","215,535","240,050","278,984","319,643","353,407","382,827","439,084","501,949","554,398","616,565","699,676","739,682","872,266","968,397","1,041,404","1,121,887","1,202,633","1,285,028","1,358,339","1,404,919","1,449,292","1,496,713","1,552,789","1,621,699","1,681,424","1,733,807","1,782,191","1,829,919","1,876,384","1,921,405","1,965,464","2,011,734","2,059,697","2,108,287","2,155,667","2,204,962","2,255,811","2,307,283","2,358,400","2,410,394","2,463,669"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,066","85,821","129,658","164,402","187,783","218,845","256,081","305,097","363,521","433,320","513,093","597,049","684,060","772,199","867,067","912,256","1,069,856","1,180,039","1,288,615","1,384,496","1,510,766","1,755,466","1,996,101","2,196,197","2,348,257","2,492,419","2,641,019","2,810,082","2,980,988","3,153,917","3,328,709","3,503,296","3,671,558","3,834,609","3,992,657","4,146,758","4,297,632","4,446,050","4,591,570","4,734,661","4,875,842","5,016,256","5,155,438"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Mali,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.05,1.06,1.07,1.09,1.10,1.11,1.13,1.14,1.16,1.19,1.21,1.22,1.23,1.25,1.26,1.27,1.29,1.31,1.33,1.40,1.46,1.50,1.57,1.68,1.75,1.78,1.80,1.82,1.79,1.74,1.76,1.82,1.78,1.93,2.01,1.87,1.85,2.06,2.22,1.99,1.76,1.66,1.94,1.67,1.64,1.65,1.68,1.72,1.75,1.78,1.81,1.83,1.84,1.86,1.87,1.88,1.89,1.90,1.91,1.92,1.93,1.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
