,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Mozambique,"10,059","16,712","27,751","46,049","76,335","102,863","125,697","139,721","144,994","149,269","160,279","185,695","228,995","283,628","324,155","400,106","517,317","632,474","745,658","858,107","966,385","1,063,271","1,161,687","1,306,756","1,436,913","1,595,976","1,764,806","1,968,397","2,230,613","2,448,870","2,625,641","2,874,147","3,085,902","3,259,207","3,408,210","3,659,570","3,899,768","4,193,975","4,433,992","4,652,376","4,743,319","4,872,816","4,917,990","5,092,466","5,154,743","5,217,020","5,409,151","5,760,889","5,947,694","6,306,058","7,703,948","9,031,465","9,377,799","9,766,662","10,221,407","10,717,448","11,077,719","11,490,970","11,949,016","12,296,279","12,357,465","12,615,333","13,060,696","12,778,710","12,649,941","12,970,890","13,367,539","13,778,508","14,116,901","14,424,873","14,722,110","15,017,436","15,307,594","15,581,858","15,851,392","16,117,604","16,377,419","16,624,737","16,868,328","17,108,913","17,346,349","17,578,234","17,807,483","18,035,792"
1,Unique subscribers,1581,Mobile internet,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,023","376,212","425,823","482,971","540,956","600,395","680,180","785,054","872,770","1,012,448","1,202,920","1,380,854","1,591,723","1,826,077","2,092,155","2,385,345","2,686,362","3,008,290","3,353,281","3,699,104","4,022,724","4,393,529","4,818,181","5,242,111","5,682,990","6,137,921","6,606,081","7,086,606","7,566,699","8,037,454","8,504,574","8,966,944","9,420,167","9,857,713","10,286,955","10,707,587","11,117,929","11,515,979","11,910,512","12,302,366","12,689,708","13,070,193","13,447,231","13,823,444"
1,Unique subscribers,1582,Mobile internet > 2G,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"274,341","301,244","323,933","358,374","386,145","414,865","456,149","515,168","551,295","607,797","686,342","763,655","858,078","951,244","1,054,731","1,164,916","1,256,772","1,346,997","1,438,457","1,508,860","1,537,807","1,595,098","1,686,513","1,758,731","1,828,129","1,890,902","1,947,339","1,997,823","2,042,756","2,079,610","2,114,047","2,146,447","2,175,002","2,196,770","2,217,229","2,237,091","2,254,899","2,268,269","2,281,324","2,293,870","2,304,348","2,311,155","2,315,170","2,316,891"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,682","74,968","101,890","124,597","154,811","185,530","224,031","269,886","321,475","404,651","516,578","617,199","733,645","874,833","1,037,424","1,220,429","1,429,590","1,661,293","1,914,824","2,190,244","2,484,917","2,798,431","3,131,668","3,483,380","3,854,861","4,247,019","4,658,742","5,088,783","5,523,943","5,957,844","6,390,527","6,820,497","7,245,165","7,660,943","8,069,726","8,470,496","8,863,030","9,247,710","9,629,188","10,008,496","10,385,360","10,759,038","11,132,061","11,506,553"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Mozambique,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.06,1.07,1.07,1.08,1.08,1.09,1.09,1.10,1.10,1.11,1.12,1.12,1.13,1.13,1.13,1.13,1.12,1.13,1.14,1.15,1.15,1.16,1.21,1.25,1.26,1.27,1.28,1.30,1.30,1.30,1.31,1.31,1.31,1.30,1.30,1.30,1.31,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
