,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Namibia,"55,123","60,430","66,450","73,161","80,539","88,556","97,180","110,114","115,844","120,514","126,144","139,133","149,146","164,774","186,719","208,199","210,899","215,470","229,927","258,218","266,876","277,810","304,716","335,248","342,789","364,524","393,775","426,536","470,511","514,942","547,531","585,963","614,219","662,557","697,172","728,435","738,260","767,696","807,923","837,294","846,204","853,455","882,359","913,211","926,256","936,710","946,232","959,926","968,979","969,960","970,941","983,647","993,974","999,666","1,014,862","1,030,655","1,038,156","1,045,755","1,061,931","1,076,547","1,086,173","1,095,584","1,104,907","1,114,217","1,123,470","1,132,601","1,141,608","1,150,565","1,159,399","1,168,010","1,176,540","1,184,999","1,193,323","1,201,412","1,209,430","1,217,397","1,225,255","1,232,912","1,240,546","1,248,167","1,255,738","1,263,202","1,270,611","1,277,997"
1,Unique subscribers,1581,Mobile internet,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310,899","326,341","351,020","377,810","398,243","417,799","437,513","459,626","479,944","496,457","512,782","535,763","557,025","575,542","599,286","623,788","635,246","647,411","665,489","683,822","699,635","715,208","730,551","745,545","760,320","774,949","789,619","804,553","819,584","834,461","849,426","864,483","879,523","894,343","909,195","923,975","938,578","952,807","966,997","981,167","995,224","1,008,919","1,022,370","1,035,751"
1,Unique subscribers,1582,Mobile internet > 2G,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"289,757","301,321","321,232","342,507","356,870","369,595","381,622","395,168","406,008","411,892","417,022","425,599","433,740","437,875","446,112","452,086","442,609","430,694","420,797","406,343","388,296","371,068","355,512","342,269","330,422","319,244","308,176","296,793","285,304","273,925","262,773","251,859","241,168","230,697","220,624","211,365","202,882","195,118","188,052","181,637","175,842","171,094","167,335","164,270"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,142","25,020","29,788","35,303","41,373","48,204","55,891","64,458","73,936","84,565","95,760","110,164","123,285","137,667","153,174","171,702","192,637","216,717","244,692","277,479","311,339","344,140","375,039","403,276","429,898","455,705","481,443","507,760","534,280","560,536","586,653","612,624","638,355","663,646","688,571","712,610","735,696","757,689","778,945","799,530","819,382","837,825","855,035","871,481"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Namibia,1.05,1.06,1.06,1.07,1.08,1.08,1.09,1.10,1.11,1.11,1.12,1.13,1.14,1.15,1.18,1.20,1.20,1.20,1.22,1.24,1.25,1.26,1.28,1.31,1.32,1.33,1.35,1.37,1.40,1.43,1.46,1.49,1.52,1.58,1.62,1.66,1.67,1.71,1.77,1.81,1.82,1.82,1.86,1.92,1.94,1.95,1.96,1.98,1.99,1.97,1.97,1.99,2.00,2.00,2.02,2.05,2.06,2.06,2.08,2.12,2.13,2.14,2.15,2.16,2.16,2.17,2.18,2.18,2.19,2.19,2.20,2.20,2.21,2.21,2.21,2.22,2.22,2.22,2.23,2.23,2.23,2.23,2.24,2.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
