,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Niger,,,,,,,"1,747","3,490","7,218","10,938","28,183","34,730","41,248","47,304","53,007","60,818","82,221","103,024","123,498","143,894","189,027","216,066","247,227","285,935","337,449","385,545","436,345","495,454","568,701","629,862","719,046","796,902","905,640","1,126,869","1,314,638","1,542,210","1,660,850","1,765,384","1,871,293","2,024,454","2,206,321","2,403,331","2,596,463","2,758,597","2,885,283","3,030,727","3,158,117","3,260,781","3,416,317","3,558,351","3,695,134","3,759,032","3,822,930","3,836,667","3,850,404","3,864,141","3,877,878","4,041,376","4,153,030","4,293,874","4,421,245","4,578,379","4,640,002","4,797,415","4,965,824","5,067,497","5,258,578","5,457,740","5,643,243","5,821,213","5,995,558","6,162,846","6,320,005","6,466,572","6,609,015","6,747,105","6,879,806","7,005,440","7,129,478","7,251,409","7,370,513","7,485,788","7,599,684","7,711,759"
1,Unique subscribers,1581,Mobile internet,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"329,353","376,175","424,428","468,961","508,248","551,447","592,470","631,135","681,408","729,893","778,339","812,250","846,241","870,583","892,656","913,907","951,529","1,027,170","1,091,983","1,168,105","1,246,258","1,335,533","1,419,258","1,514,796","1,611,654","1,712,606","1,818,358","1,929,251","2,044,585","2,162,924","2,287,532","2,418,241","2,554,303","2,693,652","2,839,824","2,992,669","3,151,428","3,314,115","3,479,845","3,647,260","3,815,328","3,981,036","4,145,903","4,310,315"
1,Unique subscribers,1582,Mobile internet > 2G,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"329,353","376,175","424,428","468,961","508,248","551,447","592,470","629,203","676,509","721,637","766,165","795,853","825,165","843,813","860,224","876,108","907,732","975,126","1,032,456","1,098,637","1,162,888","1,236,447","1,308,366","1,378,508","1,452,329","1,526,777","1,602,143","1,678,381","1,754,348","1,828,143","1,902,212","1,975,825","2,047,657","2,115,227","2,181,029","2,244,280","2,303,640","2,356,820","2,410,017","2,463,272","2,515,605","2,567,860","2,621,777","2,678,084"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,932","4,899","8,256","12,174","16,397","21,076","26,770","32,432","37,799","43,797","52,044","59,527","69,468","83,370","99,086","110,892","136,288","159,325","185,829","216,215","250,870","290,237","334,781","385,320","442,416","506,646","578,425","658,795","748,389","847,788","957,295","1,069,828","1,183,988","1,299,723","1,413,176","1,524,126","1,632,231"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Niger,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.05,1.05,1.06,1.07,1.08,1.10,1.11,1.12,1.13,1.14,1.15,1.17,1.18,1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.32,1.29,1.29,1.27,1.19,1.28,1.29,1.30,1.31,1.32,1.33,1.33,1.34,1.35,1.36,1.38,1.39,1.41,1.42,1.44,1.45,1.46,1.47,1.48,1.50,1.51,1.52,1.52,1.53,1.54,1.55,1.55,1.56
