,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Nigeria,,,"35,498","27,408","25,656","35,526","83,636","304,101","631,239","988,162","1,330,297","1,567,784","1,803,847","1,996,648","2,279,254","3,069,001","4,234,043","5,126,406","6,375,693","8,394,515","9,636,412","11,787,976","13,945,243","15,551,624","17,699,972","19,523,800","21,676,080","25,009,555","27,149,213","28,268,955","30,043,155","30,103,758","32,425,871","35,225,177","38,291,058","41,850,046","42,356,842","43,604,647","44,989,982","46,854,591","48,495,103","49,554,429","51,307,180","53,576,907","54,889,140","55,538,045","56,186,949","57,386,605","58,950,585","60,432,670","62,712,626","65,428,629","67,359,428","68,844,983","69,340,502","72,138,569","72,142,937","74,651,236","75,516,310","77,592,815","79,799,733","82,181,736","83,132,343","83,510,163","84,120,007","84,723,222","85,326,437","87,729,648","89,657,565","91,505,761","93,335,716","95,150,008","96,907,203","98,562,205","100,188,074","101,806,078","103,391,796","104,898,717","106,387,977","107,869,570","109,326,869","110,737,288","112,115,767","113,478,999"
1,Unique subscribers,1581,Mobile internet,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,813,363","21,463,078","23,376,811","25,519,869","27,270,209","28,683,686","30,065,559","31,745,257","33,621,726","35,504,675","37,689,746","40,487,618","42,557,566","44,506,283","45,751,833","48,445,584","48,960,157","51,299,076","52,575,870","54,592,864","56,786,100","59,181,682","60,576,861","62,575,523","64,587,258","66,588,625","68,601,232","70,650,450","72,710,473","74,737,396","76,786,617","78,865,361","80,952,769","83,001,991","85,030,443","87,034,105","88,995,951","90,879,210","92,736,545","94,572,460","96,372,595","98,122,096","99,837,871","101,538,413"
1,Unique subscribers,1582,Mobile internet > 2G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,167,342","18,687,818","20,492,624","22,482,383","23,960,368","25,090,227","26,225,259","27,578,499","29,067,513","30,364,725","32,308,697","33,920,822","35,536,929","36,495,068","36,930,666","38,646,598","38,404,821","39,206,496","39,013,903","39,701,260","40,282,848","40,768,986","40,485,200","40,551,283","40,531,022","40,401,768","40,175,744","39,863,625","39,450,219","38,905,142","38,265,303","37,533,386","36,697,066","35,748,321","34,821,948","33,945,827","33,111,319","32,306,635","31,547,823","30,826,815","30,129,237","29,442,785","28,768,503","28,107,121"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,646,021","2,775,260","2,884,187","3,037,486","3,309,841","3,593,459","3,840,300","4,166,758","4,554,213","5,139,950","5,381,049","6,566,796","7,020,637","8,011,215","8,821,167","9,798,986","10,555,336","12,092,580","13,561,967","14,891,604","16,503,252","18,412,696","20,091,661","22,024,240","24,056,236","26,186,857","28,425,488","30,786,825","33,260,254","35,832,254","38,521,314","41,331,975","44,255,703","47,253,670","50,208,495","53,088,278","55,884,632","58,572,575","61,188,722","63,745,645","66,243,358","68,679,311","71,069,368","73,431,292"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Nigeria,,,1.00,1.00,1.00,1.00,1.00,1.00,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.03,1.05,1.06,1.07,1.10,1.11,1.14,1.16,1.18,1.21,1.23,1.26,1.30,1.32,1.34,1.36,1.35,1.38,1.42,1.45,1.49,1.50,1.51,1.52,1.54,1.55,1.56,1.58,1.60,1.61,1.58,1.61,1.62,1.63,1.64,1.66,1.68,1.69,1.70,1.70,1.71,1.71,1.73,1.73,1.74,1.75,1.75,1.75,1.75,1.70,1.71,1.75,1.76,1.76,1.75,1.75,1.75,1.75,1.75,1.74,1.74,1.74,1.74,1.74,1.73,1.73,1.73,1.73,1.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.51%,39.64%,41.65%,43.64%,45.76%,47.87%,49.93%,52.00%,54.04%,56.18%,57.90%,60.28%,62.10%,64.21%,66.21%,68.08%,68.70%,69.49%,71.02%,72.37%,73.45%,74.30%,75.07%,75.86%,76.69%,77.50%,78.28%,79.04%,79.74%,80.37%,80.97%,81.53%,82.09%,82.65%,83.23%,83.84%,84.47%,85.11%,85.75%,86.39%,87.01%,87.61%,88.19%,88.75%
305,% unique subscribers,1582,Mobile internet > 2G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.40%,37.71%,39.94%,41.96%,43.65%,45.18%,46.68%,48.06%,49.31%,50.25%,51.52%,51.84%,52.76%,53.01%,53.26%,53.57%,53.23%,52.52%,51.66%,51.17%,50.48%,49.61%,48.70%,48.56%,48.18%,47.69%,47.08%,45.44%,44.00%,42.52%,41.00%,39.45%,37.87%,36.27%,34.76%,33.34%,32.03%,30.80%,29.65%,28.58%,27.56%,26.59%,25.66%,24.77%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46%,5.60%,5.62%,5.67%,6.03%,6.47%,6.83%,7.26%,7.73%,8.51%,8.58%,10.04%,10.42%,11.64%,12.72%,13.58%,14.63%,16.20%,17.96%,19.19%,20.68%,22.40%,24.17%,26.37%,28.60%,30.91%,33.31%,35.09%,37.10%,39.16%,41.27%,43.44%,45.67%,47.94%,50.11%,52.15%,54.05%,55.84%,57.51%,59.10%,60.59%,62.02%,63.39%,64.71%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
