,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Rwanda,"20,092","23,687","27,923","32,913","38,791","45,712","52,621","60,501","68,367","78,666","88,938","96,261","103,571","116,691","129,770","131,712","143,300","154,857","166,387","171,193","183,638","214,277","248,089","265,953","282,820","299,630","327,483","367,084","405,448","459,663","539,750","606,375","694,274","762,217","890,054","1,155,766","1,373,686","1,514,022","1,731,946","1,941,098","2,105,816","2,404,333","2,487,709","2,571,085","2,693,815","2,699,417","2,907,916","2,986,575","2,995,937","3,159,096","3,434,771","3,713,138","3,931,541","4,183,130","4,355,165","4,387,026","4,477,892","4,706,833","4,930,467","5,112,517","5,235,607","5,443,592","5,721,041","5,942,149","6,001,190","6,060,232","6,306,460","6,596,163","6,807,070","6,992,646","7,166,983","7,336,211","7,499,088","7,650,940","7,797,278","7,938,274","8,072,677","8,198,087","8,318,440","8,433,635","8,542,766","8,645,378","8,742,737","8,836,026"
1,Unique subscribers,1581,Mobile internet,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"219,981","274,431","309,090","366,115","422,931","446,990","522,095","595,447","665,159","746,529","842,815","946,346","1,049,468","1,160,111","1,266,376","1,353,021","1,455,450","1,583,794","1,719,703","1,862,582","1,998,074","2,156,633","2,340,015","2,516,931","2,697,542","2,880,180","3,062,658","3,239,078","3,409,035","3,573,778","3,737,595","3,900,522","4,061,148","4,217,001","4,371,655","4,525,057","4,676,069","4,822,549","4,967,545","5,110,842","5,251,483","5,388,650","5,523,313","5,656,501"
1,Unique subscribers,1582,Mobile internet > 2G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,254","136,481","148,868","159,187","174,544","186,184","210,927","224,230","230,581","254,488","293,259","335,008","371,114","413,226","445,586","458,015","481,460","526,617","571,218","605,521","627,859","664,037","712,811","752,665","793,038","831,682","868,485","905,558","940,945","974,355","1,007,851","1,041,234","1,073,685","1,103,800","1,133,720","1,163,461","1,192,337","1,218,918","1,245,217","1,271,269","1,296,377","1,319,955","1,342,678","1,365,205"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,727","137,950","160,222","206,928","248,387","260,806","311,168","371,217","434,578","492,041","549,556","611,338","678,354","746,885","820,790","895,006","973,990","1,057,177","1,148,485","1,257,061","1,370,215","1,492,596","1,627,204","1,764,266","1,904,504","2,048,498","2,194,173","2,333,520","2,468,090","2,599,423","2,729,744","2,859,288","2,987,463","3,113,201","3,237,935","3,361,596","3,483,732","3,603,631","3,722,328","3,839,573","3,955,106","4,068,695","4,180,635","4,291,296"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Rwanda,1.00,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.06,1.07,1.08,1.09,1.09,1.11,1.14,1.17,1.19,1.22,1.24,1.27,1.31,1.40,1.32,1.34,1.34,1.36,1.37,1.37,1.38,1.41,1.43,1.45,1.46,1.47,1.47,1.47,1.47,1.47,1.46,1.46,1.45,1.44,1.43,1.41,1.42,1.41,1.40,1.40,1.40,1.40,1.40,1.40,1.41,1.41,1.41,1.42,1.42,1.43,1.43,1.44,1.45,1.45,1.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93%,11.98%,13.08%,15.17%,16.85%,17.79%,19.40%,21.71%,24.27%,25.80%,26.79%,27.79%,29.01%,30.02%,31.25%,32.74%,34.17%,35.20%,35.87%,36.71%,37.70%,38.80%,39.97%,41.11%,42.23%,43.35%,44.48%,45.61%,46.74%,47.86%,48.97%,50.08%,51.18%,52.27%,53.34%,54.40%,55.45%,56.48%,57.49%,58.50%,59.49%,60.46%,61.41%,62.35%
305,% unique subscribers,1582,Mobile internet > 2G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38%,5.68%,5.98%,6.19%,6.48%,6.90%,7.25%,7.51%,7.70%,8.06%,8.54%,9.02%,9.44%,9.88%,10.23%,10.44%,10.75%,11.19%,11.59%,11.84%,11.99%,12.20%,12.46%,12.67%,13.21%,13.72%,13.77%,13.73%,13.82%,13.93%,14.06%,14.19%,14.32%,14.43%,14.54%,14.66%,14.77%,14.87%,14.97%,15.07%,15.18%,15.27%,15.36%,15.45%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07%,5.74%,6.44%,8.05%,9.22%,9.66%,10.70%,12.43%,14.51%,15.58%,16.00%,16.46%,17.25%,17.85%,18.85%,20.40%,21.75%,22.46%,23.29%,24.59%,26.17%,27.42%,28.44%,29.69%,31.74%,33.80%,34.79%,35.38%,36.26%,37.17%,38.09%,38.98%,39.84%,40.69%,41.53%,42.35%,43.15%,43.96%,44.75%,45.53%,46.30%,47.06%,47.82%,48.57%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Rwanda,,"3,595","4,236","4,990","5,878","6,921","6,909","7,880","7,866","10,299","10,272","7,323","7,310","13,120","13,079","1,942","11,588","11,557","11,530","4,806","12,445","30,639","33,812","17,864","16,867","16,810","27,853","39,601","38,364","54,215","80,087","66,625","87,899","67,943","127,837","265,712","217,920","140,336","217,924","209,152","164,718","298,517","83,376","83,376","122,730","5,602","208,499","78,659","9,362","163,159","275,675","278,367","218,403","251,589","172,035","31,861","90,866","228,941","223,634","182,050","123,090","207,985","277,449","221,108","59,041","59,042","246,228","289,703","210,907","185,576","174,337","169,228","162,877","151,852","146,338","140,996","134,403","125,410","120,353","115,195","109,131","102,612","97,359","93,289"
178,"Net additions, unique subscribers",1581,Mobile internet,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,386","54,450","34,659","57,025","56,816","24,059","75,105","73,352","69,712","81,370","96,286","103,531","103,122","110,643","106,265","86,645","102,429","128,344","135,909","142,879","135,492","158,559","183,382","176,916","180,611","182,638","182,478","176,420","169,957","164,743","163,817","162,927","160,626","155,853","154,654","153,402","151,012","146,480","144,996","143,297","140,641","137,167","134,663","133,188"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,268","23,227","12,387","10,319","15,357","11,640","24,743","13,303","6,351","23,907","38,771","41,749","36,106","42,112","32,360","12,429","23,445","45,157","44,601","34,303","22,338","36,178","48,774","39,854","40,373","38,644","36,803","37,073","35,387","33,410","33,496","33,383","32,451","30,115","29,920","29,741","28,876","26,581","26,299","26,052","25,108","23,578","22,723","22,527"
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,118","31,223","22,272","46,706","41,459","12,419","50,362","60,049","63,361","57,463","57,515","61,782","67,016","68,531","73,905","74,216","78,984","83,187","91,308","108,576","113,154","122,381","134,608","137,062","140,238","143,994","145,675","139,347","134,570","131,333","130,321","129,544","128,175","125,738","124,734","123,661","122,136","119,899","118,697","117,245","115,533","113,589","111,940","110,661"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Rwanda,,17.89%,17.88%,17.87%,17.86%,17.84%,15.11%,14.98%,13.00%,15.06%,13.06%,8.23%,7.59%,12.67%,11.21%,1.50%,8.80%,8.06%,7.45%,2.89%,7.27%,16.68%,15.78%,7.20%,6.34%,5.94%,9.30%,12.09%,10.45%,13.37%,17.42%,12.34%,14.50%,9.79%,16.77%,29.85%,18.86%,10.22%,14.39%,12.08%,8.49%,14.18%,3.47%,3.35%,4.77%,0.21%,7.72%,2.71%,0.31%,5.45%,8.73%,8.10%,5.88%,6.40%,4.11%,0.73%,2.07%,5.11%,4.75%,3.69%,2.41%,3.97%,5.10%,3.86%,0.99%,0.98%,4.06%,4.59%,3.20%,2.73%,2.49%,2.36%,2.22%,2.02%,1.91%,1.81%,1.69%,1.55%,1.47%,1.38%,1.29%,1.20%,1.13%,1.07%
179,"Growth rate, unique subscribers, quarterly",1581,Mobile internet,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.71%,24.75%,12.63%,18.45%,15.52%,5.69%,16.80%,14.05%,11.71%,12.23%,12.90%,12.28%,10.90%,10.54%,9.16%,6.84%,7.57%,8.82%,8.58%,8.31%,7.27%,7.94%,8.50%,7.56%,7.18%,6.77%,6.34%,5.76%,5.25%,4.83%,4.58%,4.36%,4.12%,3.84%,3.67%,3.51%,3.34%,3.13%,3.01%,2.88%,2.75%,2.61%,2.50%,2.41%
179,"Growth rate, unique subscribers, quarterly",1582,Mobile internet > 2G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.27%,20.51%,9.08%,6.93%,9.65%,6.67%,13.29%,6.31%,2.83%,10.37%,15.23%,14.24%,10.78%,11.35%,7.83%,2.79%,5.12%,9.38%,8.47%,6.01%,3.69%,5.76%,7.35%,5.59%,5.36%,4.87%,4.43%,4.27%,3.91%,3.55%,3.44%,3.31%,3.12%,2.80%,2.71%,2.62%,2.48%,2.23%,2.16%,2.09%,1.98%,1.82%,1.72%,1.68%
179,"Growth rate, unique subscribers, quarterly",1583,Mobile internet > 3G + 4G,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32%,29.26%,16.15%,29.15%,20.04%,5.00%,19.31%,19.30%,17.07%,13.22%,11.69%,11.24%,10.96%,10.10%,9.90%,9.04%,8.83%,8.54%,8.64%,9.45%,9.00%,8.93%,9.02%,8.42%,7.95%,7.56%,7.11%,6.35%,5.77%,5.32%,5.01%,4.75%,4.48%,4.21%,4.01%,3.82%,3.63%,3.44%,3.29%,3.15%,3.01%,2.87%,2.75%,2.65%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Growth rate, unique subscribers, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
