,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Senegal,"78,300","98,933","126,753","164,526","216,065","270,340","327,266","386,751","440,625","507,013","559,084","606,747","638,324","681,071","721,563","758,804","745,360","812,393","892,753","1,016,144","1,145,709","1,257,421","1,348,335","1,495,441","1,648,618","1,848,083","2,130,399","2,347,835","2,586,444","2,607,330","2,628,215","2,743,882","3,020,500","3,313,187","3,455,302","3,624,120","3,855,041","3,971,015","4,020,030","4,206,717","4,333,016","4,458,846","4,562,118","4,766,654","5,008,094","5,190,140","5,297,895","5,363,495","5,429,095","5,734,452","5,900,396","6,204,000","6,679,689","6,985,771","7,026,206","7,066,641","7,370,751","7,674,860","7,978,970","7,997,616","8,273,621","8,370,314","8,385,782","8,401,251","8,784,142","9,015,759","9,287,391","9,537,920","9,756,047","9,952,090","10,133,854","10,300,009","10,450,076","10,585,712","10,714,313","10,837,408","10,954,641","11,064,986","11,172,767","11,277,907","11,380,153","11,479,247","11,577,069","11,673,377"
1,Unique subscribers,1581,Mobile internet,,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"568,750","635,284","703,219","794,320","905,957","1,016,226","1,122,013","1,229,757","1,327,847","1,541,441","1,668,233","1,832,605","2,026,223","2,123,962","2,266,457","2,586,091","2,882,707","2,971,181","3,067,783","3,158,519","3,377,414","3,555,469","3,789,603","4,041,926","4,296,038","4,551,971","4,810,953","5,075,083","5,340,913","5,605,264","5,874,386","6,150,311","6,433,404","6,718,641","7,009,452","7,303,425","7,591,293","7,870,444","8,146,733","8,420,789","8,691,465","8,955,506","9,210,050","9,457,049"
1,Unique subscribers,1582,Mobile internet > 2G,,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"562,580","625,312","687,592","770,707","867,073","955,031","1,029,250","1,094,418","1,165,651","1,278,714","1,380,217","1,513,940","1,677,600","1,764,761","1,834,852","1,907,650","2,142,959","2,189,349","2,231,072","2,275,857","2,342,482","2,373,005","2,431,405","2,490,085","2,544,044","2,594,025","2,638,858","2,678,146","2,709,842","2,732,306","2,748,467","2,756,541","2,752,266","2,733,227","2,704,035","2,666,535","2,627,066","2,582,700","2,535,854","2,485,555","2,430,080","2,370,485","2,313,974","2,261,165"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,170","9,972","15,627","23,613","38,884","61,195","92,763","135,339","162,196","262,727","288,016","318,665","348,623","359,201","431,605","678,441","739,748","781,832","836,711","882,662","1,034,932","1,182,464","1,358,198","1,551,841","1,751,994","1,957,946","2,172,095","2,396,937","2,631,071","2,872,958","3,125,919","3,393,770","3,681,138","3,985,414","4,305,417","4,636,890","4,964,227","5,287,744","5,610,879","5,935,234","6,261,385","6,585,021","6,896,076","7,195,884"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Senegal,1.01,1.01,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.05,1.06,1.06,1.06,1.07,1.07,1.08,1.07,1.08,1.09,1.10,1.12,1.13,1.14,1.16,1.18,1.20,1.24,1.27,1.31,1.27,1.31,1.32,1.37,1.42,1.45,1.49,1.55,1.58,1.59,1.64,1.66,1.69,1.70,1.73,1.77,1.79,1.80,1.72,1.80,1.82,1.82,1.82,1.79,1.77,1.72,1.77,1.85,1.77,1.70,1.71,1.69,1.69,1.71,1.69,1.67,1.66,1.65,1.64,1.64,1.64,1.64,1.64,1.64,1.65,1.65,1.66,1.66,1.67,1.68,1.68,1.69,1.69,1.70,1.70
