,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Swaziland,"21,541","23,771","26,225","28,925","31,893","35,155","38,396","45,265","52,038","55,616","59,167","61,375","63,575","67,940","72,269","80,810","78,275","83,363","104,003","118,375","126,982","145,180","162,250","177,342","185,139","193,524","206,525","215,304","227,212","248,991","271,377","286,079","297,054","332,036","357,745","368,257","384,329","389,706","417,112","439,405","451,576","452,998","462,333","492,586","499,799","507,011","514,224","521,437","537,321","538,182","539,043","550,613","559,157","568,646","587,692","591,761","595,831","599,900","608,550","617,201","631,728","645,701","659,589","673,385","686,934","700,094","713,012","725,827","751,986","768,644","781,522","794,031","806,226","816,455","825,826","835,010","843,971","852,249","860,215","867,962","875,431","882,522","889,315","895,892"
1,Unique subscribers,1581,Mobile internet,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,521","1,819","4,260","9,413","16,912","25,868","37,254","53,244","69,983","88,407","108,856","132,510","155,363","179,073","204,142","231,407","238,482","264,269","274,569","287,210","295,051","304,237","314,184","332,444","350,735","371,715","393,513","414,360","433,653","451,840","469,791","487,690","505,339","522,415","539,345","556,163","572,707","588,692","604,508","620,178","635,575","650,555","665,218","679,674"
1,Unique subscribers,1582,Mobile internet > 2G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,521","1,819","4,260","9,413","16,912","25,868","37,254","50,595","64,644","80,033","97,110","116,943","135,881","155,330","175,963","196,705","197,817","215,454","219,773","221,128","221,081","218,675","217,681","222,770","226,543","231,176","235,887","239,654","242,022","243,367","244,257","244,754","244,765","244,115","243,201","242,103","240,748","238,987","237,145","235,270","233,310","231,210","229,071","226,983"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,649","5,339","8,374","11,746","15,567","19,482","23,743","28,179","34,702","40,665","48,815","54,796","66,082","73,970","85,562","96,503","109,674","124,192","140,539","157,626","174,706","191,631","208,473","225,534","242,936","260,574","278,300","296,144","314,060","331,959","349,705","367,363","384,908","402,265","419,345","436,147","452,691"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Swaziland,1.02,1.03,1.03,1.03,1.03,1.04,1.04,1.05,1.06,1.06,1.06,1.07,1.07,1.07,1.08,1.09,1.09,1.09,1.12,1.13,1.14,1.16,1.18,1.20,1.21,1.22,1.23,1.24,1.26,1.29,1.31,1.33,1.34,1.38,1.40,1.41,1.42,1.43,1.45,1.46,1.47,1.47,1.47,1.47,1.36,1.42,1.38,1.47,1.47,1.45,1.47,1.46,1.46,1.46,1.45,1.37,1.36,1.45,1.52,1.44,1.45,1.38,1.40,1.48,1.36,1.31,1.35,1.40,1.40,1.40,1.40,1.40,1.40,1.41,1.41,1.41,1.41,1.41,1.42,1.42,1.42,1.42,1.43,1.43
