,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Tanzania,"73,038","82,168","91,724","160,865","195,254","240,293","285,924","360,785","438,782","517,555","595,096","701,459","786,315","864,348","948,444","1,071,091","1,205,886","1,411,488","1,629,255","1,859,046","2,066,654","2,325,987","2,645,764","3,002,055","3,334,188","3,790,851","4,292,274","4,647,288","5,025,925","5,437,834","5,953,411","6,510,514","7,056,774","7,593,227","8,341,363","9,045,858","9,564,046","10,091,381","10,767,829","11,548,752","11,727,159","12,620,574","12,628,260","12,740,997","12,747,387","13,413,430","14,225,614","15,006,983","15,228,861","15,579,374","16,022,870","16,771,026","16,902,963","16,972,061","17,041,158","17,110,256","17,352,796","17,817,574","18,918,870","19,919,251","20,728,382","21,607,475","22,750,793","23,897,247","23,899,671","23,530,509","24,299,007","25,521,877","26,346,777","27,141,310","27,916,987","28,660,319","29,354,988","29,988,853","30,595,263","31,185,619","31,750,573","32,273,128","32,778,769","33,274,425","33,754,869","34,212,300","34,653,196","35,086,644"
1,Unique subscribers,1581,Mobile internet,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,190,974","2,538,441","2,881,702","3,144,710","3,410,944","3,854,611","4,377,635","4,942,513","5,386,455","5,866,403","6,411,306","7,076,778","7,551,975","8,061,242","8,483,125","8,857,686","9,325,695","9,889,726","10,678,644","11,435,142","12,134,430","12,875,358","13,773,089","14,556,677","15,363,667","16,120,183","16,842,141","17,549,127","18,242,113","18,892,090","19,522,712","20,145,429","20,755,550","21,338,538","21,912,345","22,482,267","23,040,281","23,575,174","24,102,477","24,622,020","25,128,297","25,615,915","26,088,279","26,552,054"
1,Unique subscribers,1582,Mobile internet > 2G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,688,950","1,958,479","2,181,616","2,342,505","2,481,576","2,766,821","3,108,061","3,462,964","3,682,774","3,944,027","4,222,331","4,597,616","4,758,688","4,824,645","4,916,949","5,007,879","5,119,518","5,272,844","5,656,806","5,988,886","6,208,216","6,425,372","6,680,246","6,859,818","7,007,188","7,112,214","7,190,974","7,267,404","7,324,083","7,351,539","7,363,962","7,363,172","7,342,262","7,291,758","7,221,783","7,134,358","7,029,811","6,903,165","6,762,518","6,617,323","6,468,809","6,314,942","6,157,152","5,997,136"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,024","579,962","700,086","802,205","929,368","1,087,790","1,269,574","1,479,549","1,703,681","1,922,376","2,188,975","2,479,162","2,793,287","3,236,597","3,566,176","3,849,807","4,206,177","4,616,882","5,021,838","5,446,256","5,926,214","6,449,986","7,092,843","7,696,859","8,356,479","9,007,969","9,651,167","10,281,723","10,918,030","11,540,551","12,158,750","12,782,257","13,413,288","14,046,780","14,690,562","15,347,909","16,010,470","16,672,009","17,339,959","18,004,697","18,659,488","19,300,973","19,931,127","20,554,918"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Tanzania,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.05,1.05,1.06,1.07,1.08,1.09,1.10,1.11,1.13,1.14,1.16,1.18,1.20,1.21,1.23,1.25,1.27,1.29,1.32,1.35,1.38,1.40,1.42,1.44,1.47,1.47,1.50,1.49,1.49,1.49,1.51,1.53,1.55,1.55,1.56,1.56,1.57,1.57,1.52,1.54,1.57,1.57,1.58,1.59,1.59,1.59,1.58,1.58,1.58,1.56,1.56,1.55,1.54,1.52,1.51,1.50,1.49,1.49,1.48,1.47,1.47,1.47,1.46,1.46,1.46,1.46,1.45,1.45,1.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71%,21.24%,23.15%,25.08%,27.25%,29.32%,31.43%,33.70%,36.30%,38.77%,41.36%,43.73%,46.54%,49.80%,52.28%,54.32%,56.22%,57.92%,58.50%,59.44%,60.51%,61.72%,63.02%,64.34%,65.64%,66.97%,68.25%,69.48%,70.64%,71.74%,72.79%,73.77%,74.71%,75.58%,76.41%,77.18%,77.91%,78.60%,79.25%,79.87%,80.46%,81.02%,81.56%,82.08%
305,% unique subscribers,1582,Mobile internet > 2G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40%,15.52%,17.28%,18.39%,19.47%,20.63%,21.85%,23.08%,24.18%,25.32%,26.35%,27.41%,28.15%,28.43%,28.85%,29.27%,29.50%,29.59%,29.90%,30.07%,29.95%,29.74%,29.36%,28.71%,29.32%,30.23%,29.59%,28.48%,27.80%,27.09%,26.38%,25.69%,25.01%,24.31%,23.60%,22.88%,22.14%,21.39%,20.63%,19.89%,19.16%,18.46%,17.77%,17.09%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28%,4.60%,5.54%,6.30%,7.29%,8.11%,8.92%,9.86%,11.19%,12.34%,13.66%,14.78%,16.53%,19.07%,20.93%,22.50%,24.24%,25.91%,26.54%,27.34%,28.59%,29.85%,31.18%,32.21%,34.96%,38.28%,39.72%,40.29%,41.44%,42.52%,43.55%,44.60%,45.69%,46.84%,48.02%,49.21%,50.43%,51.66%,52.90%,54.11%,55.28%,56.42%,57.52%,58.58%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Tanzania,,"9,130","9,556","69,141","34,389","45,039","45,631","74,861","77,997","78,773","77,541","106,363","84,856","78,033","84,096","122,647","134,795","205,602","217,767","229,791","207,608","259,333","319,777","356,291","332,133","456,663","501,423","355,014","378,637","411,909","515,577","557,103","546,260","536,453","748,136","704,495","518,188","527,335","676,448","780,923","178,407","893,415","7,686","112,737","6,390","666,043","812,184","781,369","221,878","350,513","443,496","748,156","131,937","69,098","69,097","69,098","242,540","464,778","1,101,296","1,000,381","809,131","879,093","1,143,318","1,146,454","2,424","-369,162","768,498","1,222,870","824,900","794,533","775,677","743,332","694,669","633,865","606,410","590,356","564,954","522,555","505,641","495,656","480,444","457,431","440,896","433,448"
178,"Net additions, unique subscribers",1581,Mobile internet,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217,212","347,467","343,261","263,008","266,234","443,667","523,024","564,878","443,942","479,948","544,903","665,472","475,197","509,267","421,883","374,561","468,009","564,031","788,918","756,498","699,288","740,928","897,731","783,588","806,990","756,516","721,958","706,986","692,986","649,977","630,622","622,717","610,121","582,988","573,807","569,922","558,014","534,893","527,303","519,543","506,277","487,618","472,364","463,775"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,379","269,529","223,137","160,889","139,071","285,245","341,240","354,903","219,810","261,253","278,304","375,285","161,072","65,957","92,304","90,930","111,639","153,326","383,962","332,080","219,330","217,156","254,874","179,572","147,370","105,026","78,760","76,430","56,679","27,456","12,423",-790,"-20,910","-50,504","-69,975","-87,425","-104,547","-126,646","-140,647","-145,195","-148,514","-153,867","-157,790","-160,016"
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,833","77,938","120,124","102,119","127,163","158,422","181,784","209,975","224,132","218,695","266,599","290,187","314,125","443,310","329,579","283,631","356,370","410,705","404,956","424,418","479,958","523,772","642,857","604,016","659,620","651,490","643,198","630,556","636,307","622,521","618,199","623,507","631,031","633,492","643,782","657,347","662,561","661,539","667,950","664,738","654,791","641,485","630,154","623,791"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
