,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Togo,"26,455","35,645","45,176","54,207","65,242","75,770","86,623","78,536","97,938","117,116","136,083","154,851","150,549","159,719","168,853","223,829","244,616","262,960","281,152","299,196","320,162","340,933","361,522","381,933","435,880","488,439","539,712","589,769","674,473","755,725","833,833","909,021","963,626","1,016,891","1,068,961","1,151,990","1,188,932","1,225,424","1,261,536","1,377,295","1,414,938","1,452,161","1,489,040","1,525,528","1,592,463","1,657,590","1,721,052","1,782,832","1,855,385","1,924,594","1,989,989","2,052,219","2,113,204","2,172,396","2,230,651","2,288,547","2,345,614","2,380,553","2,446,831","2,510,777","2,549,327","2,609,910","2,673,685","2,712,030","2,757,841","2,775,748","2,812,720","2,847,093","2,879,439","2,908,756","2,936,889","2,964,681","2,991,881","3,017,598","3,042,913","3,068,056","3,092,789","3,116,561","3,140,200","3,163,759","3,187,059","3,209,836","3,232,354","3,254,726"
1,Unique subscribers,1581,Mobile internet,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,630","46,044","54,343","63,580","75,169","87,762","106,555","131,540","155,456","180,305","206,185","233,377","262,292","292,159","323,705","357,116","386,317","414,578","457,788","501,536","546,704","594,985","641,032","692,371","744,355","797,783","852,945","910,167","969,010","1,026,350","1,083,067","1,139,400","1,195,095","1,249,453","1,303,514","1,357,371","1,410,684","1,462,722","1,514,570","1,566,314","1,617,658","1,668,242","1,718,509","1,768,861"
1,Unique subscribers,1582,Mobile internet > 2G,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,630","46,044","54,343","63,580","75,169","87,762","101,181","115,350","131,966","149,740","168,759","189,243","211,173","234,171","258,910","285,534","307,482","325,571","355,184","378,528","400,911","424,330","444,943","463,446","481,976","498,939","514,561","529,046","541,877","553,546","565,168","576,874","588,341","598,943","609,617","620,479","631,285","641,503","651,992","662,804","673,704","684,422","695,186","706,214"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,374","16,190","23,490","30,565","37,426","44,134","51,119","57,988","64,795","71,582","78,835","89,007","102,604","123,008","145,793","170,655","196,089","228,925","262,379","298,844","338,384","381,121","427,133","472,804","517,899","562,526","606,754","650,510","693,897","736,892","779,399","821,219","862,578","903,510","943,954","983,820","1,023,323","1,062,647"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Togo,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.04,1.05,1.05,1.05,1.06,1.06,1.07,1.07,1.07,1.08,1.10,1.11,1.12,1.13,1.15,1.17,1.19,1.20,1.21,1.23,1.25,1.26,1.26,1.27,1.31,1.31,1.32,1.33,1.34,1.36,1.38,1.40,1.42,1.44,1.46,1.49,1.52,1.54,1.57,1.60,1.62,1.65,1.66,1.68,1.70,1.71,1.72,1.74,1.74,1.75,1.75,1.76,1.76,1.77,1.77,1.77,1.77,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.79,1.79,1.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73%,3.17%,3.65%,4.17%,4.73%,5.30%,6.15%,7.23%,8.24%,9.29%,10.38%,11.53%,12.58%,13.61%,14.67%,15.75%,16.98%,18.20%,19.46%,20.76%,22.10%,23.46%,24.87%,26.31%,27.79%,29.30%,30.86%,32.48%,34.15%,35.82%,37.50%,39.15%,40.68%,42.06%,43.33%,44.52%,45.65%,46.72%,47.76%,48.79%,49.80%,50.79%,51.79%,52.77%
305,% unique subscribers,1582,Mobile internet > 2G,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73%,3.17%,3.65%,4.17%,4.72%,5.29%,5.88%,6.47%,7.11%,7.78%,8.48%,9.22%,9.99%,10.78%,11.61%,12.48%,13.11%,13.68%,14.52%,15.08%,15.73%,16.26%,16.64%,17.09%,17.48%,17.97%,18.29%,18.58%,18.82%,19.03%,19.24%,19.46%,19.66%,19.85%,20.03%,20.22%,20.41%,20.58%,20.76%,20.95%,21.14%,21.32%,21.51%,21.70%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31%,0.91%,1.27%,1.59%,1.88%,2.15%,2.42%,2.67%,2.90%,3.13%,3.36%,3.74%,4.19%,4.90%,5.72%,6.54%,7.33%,8.44%,9.51%,10.77%,12.03%,13.39%,14.83%,16.25%,17.63%,18.97%,20.28%,21.56%,22.80%,24.02%,25.20%,26.35%,27.47%,28.56%,29.62%,30.65%,31.66%,32.65%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Togo,,"9,190","9,531","9,031","11,035","10,528","10,853","-8,087","19,402","19,178","18,967","18,768","-4,302","9,170","9,134","54,976","20,787","18,344","18,192","18,044","20,966","20,771","20,589","20,411","53,947","52,559","51,273","50,057","84,704","81,252","78,108","75,188","54,605","53,265","52,070","83,029","36,942","36,492","36,112","115,759","37,643","37,223","36,879","36,488","66,935","65,127","63,462","61,780","72,553","69,209","65,395","62,230","60,985","59,192","58,255","57,896","57,067","34,939","66,278","63,946","38,550","60,583","63,775","38,345","45,811","17,907","36,972","34,373","32,346","29,317","28,133","27,792","27,200","25,717","25,315","25,143","24,733","23,772","23,639","23,559","23,300","22,777","22,518","22,372"
178,"Net additions, unique subscribers",1581,Mobile internet,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,763","7,414","8,299","9,237","11,589","12,593","18,793","24,985","23,916","24,849","25,880","27,192","28,915","29,867","31,546","33,411","29,201","28,261","43,210","43,748","45,168","48,281","46,047","51,339","51,984","53,428","55,162","57,222","58,843","57,340","56,717","56,333","55,695","54,358","54,061","53,857","53,313","52,038","51,848","51,744","51,344","50,584","50,267","50,352"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,763","7,414","8,299","9,237","11,589","12,593","13,419","14,169","16,616","17,774","19,019","20,484","21,930","22,998","24,739","26,624","21,948","18,089","29,613","23,344","22,383","23,419","20,613","18,503","18,530","16,963","15,622","14,485","12,831","11,669","11,622","11,706","11,467","10,602","10,674","10,862","10,806","10,218","10,489","10,812","10,900","10,718","10,764","11,028"
