,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Uganda,"55,863","86,065","114,408","140,935","188,501","228,501","265,298","296,830","329,276","372,707","423,985","476,440","522,858","560,266","597,460","665,031","830,572","934,479","983,583","1,096,054","1,158,671","1,231,832","1,317,365","1,419,235","1,769,445","1,833,978","2,098,886","2,401,639","2,655,812","3,081,068","3,541,444","4,223,287","4,589,700","4,895,335","5,742,117","6,378,178","7,153,241","7,658,867","8,052,278","8,331,418","8,632,301","8,970,174","9,311,983","9,593,514","9,985,168","10,375,957","10,837,182","10,993,746","11,226,331","11,349,838","11,473,345","11,598,210","11,731,039","11,863,869","12,322,634","12,720,538","13,038,150","13,291,944","13,512,144","13,718,822","13,931,022","14,164,730","14,448,119","14,804,027","15,351,611","15,696,787","16,163,585","16,636,376","17,118,772","17,611,792","18,124,298","18,644,593","19,121,724","19,568,134","20,001,042","20,423,470","20,827,457","21,201,190","21,561,397","21,912,358","22,250,082","22,568,061","22,869,395","23,158,191"
1,Unique subscribers,1581,Mobile internet,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,776,041","1,999,338","2,229,957","2,445,933","2,690,185","2,940,376","3,221,868","3,424,165","3,592,952","3,765,909","3,980,310","4,304,335","4,596,679","4,827,188","5,167,491","5,643,515","6,173,936","6,640,957","7,116,724","7,572,341","8,064,523","8,572,332","9,076,398","9,590,235","10,116,676","10,636,603","11,157,719","11,688,865","12,228,536","12,767,623","13,321,770","13,897,267","14,469,234","15,040,003","15,618,636","16,203,421","16,788,435","17,359,086","17,919,797","18,461,014","18,979,154","19,471,058","19,940,209","20,392,102"
1,Unique subscribers,1582,Mobile internet > 2G,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,728,345","1,938,402","2,152,580","2,350,823","2,575,864","2,803,186","3,056,982","3,225,910","3,358,828","3,481,797","3,633,158","3,863,773","4,049,674","4,157,171","4,362,289","4,675,805","5,044,255","5,322,902","5,581,135","5,786,592","6,003,467","6,202,494","6,370,170","6,508,740","6,638,545","6,746,391","6,836,148","6,912,974","6,973,826","7,010,456","7,035,044","7,051,077","7,034,609","6,986,777","6,915,855","6,821,593","6,701,992","6,560,795","6,413,410","6,273,821","6,140,057","6,011,092","5,889,512","5,775,899"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,696","60,936","77,377","95,110","114,321","137,190","164,886","198,255","234,124","284,112","347,152","440,562","547,005","670,017","805,202","967,710","1,129,681","1,318,055","1,535,589","1,785,749","2,061,056","2,369,838","2,706,228","3,081,495","3,478,131","3,890,212","4,321,571","4,775,891","5,254,710","5,757,167","6,286,726","6,846,190","7,434,625","8,053,226","8,702,781","9,381,828","10,086,443","10,798,291","11,506,387","12,187,193","12,839,097","13,459,966","14,050,697","14,616,203"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Uganda,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.06,1.07,1.07,1.08,1.10,1.11,1.12,1.14,1.17,1.18,1.19,1.22,1.25,1.28,1.30,1.31,1.32,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.38,1.39,1.35,1.35,1.39,1.41,1.39,1.40,1.44,1.51,1.56,1.59,1.61,1.63,1.65,1.66,1.44,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.44,1.44,1.44,1.43,1.43,1.43,1.42,1.42,1.42,1.42,1.41,1.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.59%,22.31%,23.97%,25.52%,26.97%,28.38%,29.77%,31.20%,32.62%,34.08%,35.56%,37.12%,38.73%,40.40%,42.03%,43.69%,44.85%,46.14%,47.70%,49.16%,50.65%,52.16%,53.73%,55.38%,57.08%,58.77%,60.41%,61.96%,63.40%,64.74%,66.03%,67.32%,68.67%,70.08%,71.54%,73.03%,74.53%,75.99%,77.39%,78.67%,79.86%,80.93%,81.91%,82.82%
