,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Zambia,"33,269","38,482","44,749","52,356","61,674","73,192","87,558","105,623","122,153","138,174","154,312","171,186","187,750","221,090","263,246","308,982","347,834","391,920","441,812","372,639","508,765","648,233","740,767","847,169","965,178","1,113,211","1,275,735","1,479,717","1,605,089","1,732,946","1,870,341","2,061,679","2,238,850","2,460,631","2,709,848","2,880,747","2,929,026","3,008,695","3,107,753","3,333,779","3,462,375","3,591,653","3,880,012","4,202,657","4,495,921","4,795,446","5,151,361","5,589,226","5,886,880","6,180,612","6,582,740","6,704,761","6,826,782","6,946,151","7,066,846","7,188,868","7,310,889","7,430,258","7,550,953","7,672,975","7,802,320","7,931,665","8,169,052","8,504,807","8,552,557","8,850,857","9,120,704","9,350,767","9,545,817","9,701,365","9,839,024","9,973,130","10,102,891","10,219,788","10,331,500","10,441,244","10,547,671","10,647,454","10,745,495","10,843,104","10,939,509","11,033,093","11,124,958","11,216,019"
1,Unique subscribers,1581,Mobile internet,,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"445,616","499,060","579,687","672,425","774,112","883,336","1,019,228","1,183,753","1,339,529","1,506,785","1,646,321","1,789,638","1,950,456","2,118,513","2,291,948","2,479,984","2,657,993","2,834,069","2,992,302","3,156,104","3,325,739","3,540,808","3,739,602","3,966,594","4,219,104","4,492,292","4,773,324","5,048,463","5,309,890","5,561,760","5,813,026","6,068,198","6,326,914","6,585,666","6,849,473","7,118,477","7,387,221","7,647,034","7,901,420","8,147,441","8,383,229","8,606,846","8,820,900","9,027,365"
1,Unique subscribers,1582,Mobile internet > 2G,,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"445,616","499,060","579,687","672,425","765,766","866,079","982,672","1,124,305","1,242,902","1,365,521","1,461,474","1,562,743","1,662,249","1,761,311","1,864,285","1,966,515","2,032,706","2,098,943","2,177,399","2,255,544","2,327,171","2,368,823","2,421,430","2,488,151","2,564,544","2,646,901","2,724,787","2,788,376","2,832,536","2,860,256","2,877,037","2,883,629","2,876,265","2,849,998","2,809,550","2,756,670","2,693,258","2,622,446","2,549,791","2,480,968","2,416,898","2,357,543","2,303,053","2,253,971"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,346","17,257","36,556","59,448","96,627","141,264","184,847","226,895","288,207","357,202","427,663","513,469","625,287","735,126","814,903","900,560","998,568","1,171,985","1,318,172","1,478,443","1,654,560","1,845,391","2,048,537","2,260,087","2,477,354","2,701,504","2,935,989","3,184,569","3,450,649","3,735,668","4,039,923","4,361,807","4,693,963","5,024,588","5,351,629","5,666,473","5,966,331","6,249,303","6,517,847","6,773,394"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Zambia,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.04,1.05,1.06,1.07,1.08,1.09,1.11,1.12,1.14,1.15,1.16,1.18,1.19,1.21,1.23,1.25,1.27,1.27,1.28,1.28,1.30,1.31,1.32,1.34,1.36,1.38,1.40,1.43,1.45,1.45,1.45,1.45,1.54,1.51,1.47,1.46,1.41,1.30,1.26,1.34,1.42,1.48,1.42,1.41,1.40,1.40,1.39,1.39,1.38,1.38,1.38,1.38,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
