,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
1,Unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unique subscribers,0,Total,,Zimbabwe,"175,481","187,679","201,326","215,227","223,453","231,953","239,106","247,148","256,196","265,517","274,311","281,914","287,603","291,004","294,884","299,078","307,061","315,499","332,675","348,826","368,855","380,852","421,105","460,992","502,557","532,930","578,022","614,607","710,132","728,190","750,326","772,629","786,672","862,399","937,034","1,027,041","1,116,797","1,335,022","1,543,135","2,179,196","2,860,631","3,199,526","3,580,126","3,939,990","3,996,034","4,064,354","4,582,883","5,025,417","5,452,812","5,624,490","6,286,329","7,151,888","7,208,677","7,265,466","7,796,224","7,824,742","7,904,154","7,983,565","8,062,977","8,393,191","8,435,343","8,502,720","8,853,253","9,115,819","9,643,040","9,778,679","9,930,419","10,083,644","10,226,402","10,364,109","10,496,988","10,620,887","10,733,127","10,835,105","10,932,876","11,028,884","11,122,440","11,211,100","11,298,028","11,383,804","11,467,879","11,549,384","11,629,025","11,707,476"
1,Unique subscribers,1581,Mobile internet,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"457,231","552,300","666,271","860,418","936,907","1,034,472","1,241,812","1,463,280","1,718,683","1,937,891","2,341,704","2,665,827","3,024,972","3,287,879","3,696,839","3,900,470","4,048,740","4,198,887","4,333,827","4,598,420","4,746,563","4,896,759","5,033,153","5,202,455","5,408,867","5,646,302","5,893,011","6,134,297","6,366,919","6,597,379","6,829,301","7,059,727","7,284,493","7,499,596","7,710,543","7,917,716","8,119,844","8,314,346","8,505,857","8,694,307","8,878,400","9,056,960","9,231,363","9,402,898"
1,Unique subscribers,1582,Mobile internet > 2G,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"453,441","549,000","663,413","739,295","795,982","845,629","1,018,008","1,182,296","1,354,725","1,464,432","1,726,152","1,929,839","2,121,860","2,266,107","2,534,354","2,628,850","2,646,654","2,659,826","2,686,398","2,804,325","2,788,589","2,788,435","2,774,616","2,778,683","2,804,746","2,845,992","2,886,390","2,915,757","2,932,153","2,938,602","2,938,132","2,932,172","2,922,154","2,908,869","2,894,976","2,880,628","2,864,862","2,846,021","2,826,318","2,806,151","2,785,049","2,762,442","2,739,065","2,715,574"
1,Unique subscribers,1583,Mobile internet > 3G + 4G,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,790","3,300","2,858","121,123","140,925","188,843","223,804","280,984","363,958","473,459","615,552","735,988","903,112","1,021,772","1,162,485","1,271,620","1,402,086","1,539,061","1,647,429","1,794,095","1,957,974","2,108,324","2,258,537","2,423,772","2,604,121","2,800,310","3,006,621","3,218,540","3,434,766","3,658,777","3,891,169","4,127,555","4,362,339","4,590,727","4,815,567","5,037,088","5,254,982","5,468,325","5,679,539","5,888,156","6,093,351","6,294,518","6,492,298","6,687,324"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,SIMs per unique subscriber,0,,,Zimbabwe,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.05,1.05,1.05,1.05,1.06,1.07,1.07,1.07,1.07,1.08,1.08,1.09,1.10,1.12,1.14,1.20,1.27,1.30,1.34,1.37,1.37,1.37,1.41,1.44,1.46,1.47,1.47,1.44,1.42,1.44,1.42,1.42,1.40,1.38,1.41,1.41,1.41,1.41,1.40,1.40,1.40,1.41,1.41,1.41,1.41,1.42,1.42,1.42,1.42,1.43,1.43,1.43,1.43,1.43,1.44,1.44,1.44,1.44,1.44,1.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00%,17.27%,18.62%,22.22%,23.87%,26.03%,27.70%,29.82%,32.42%,35.56%,38.84%,41.82%,45.15%,48.03%,50.56%,52.81%,54.44%,55.97%,57.28%,58.49%,59.67%,60.80%,61.91%,63.03%,64.17%,65.32%,66.49%,67.67%,68.85%,70.03%,71.23%,72.41%,73.55%,74.62%,75.64%,76.62%,77.54%,78.41%,79.25%,80.04%,80.79%,81.50%,82.17%,82.82%
305,% unique subscribers,1582,Mobile internet > 2G,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85%,17.16%,18.53%,18.76%,19.92%,20.81%,22.21%,23.53%,24.84%,26.04%,27.46%,26.98%,29.43%,31.19%,32.51%,33.60%,33.48%,33.32%,33.32%,33.41%,33.06%,32.79%,31.34%,30.48%,29.09%,29.10%,29.07%,28.92%,28.67%,28.35%,27.99%,27.61%,27.23%,26.85%,26.48%,26.12%,25.76%,25.39%,25.02%,24.65%,24.29%,23.92%,23.55%,23.20%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13%,0.10%,0.08%,3.07%,3.53%,4.65%,4.88%,5.59%,6.67%,8.42%,9.79%,10.29%,12.53%,14.06%,14.91%,16.25%,17.74%,19.28%,20.43%,21.38%,23.21%,24.80%,25.51%,26.59%,27.01%,28.64%,30.28%,31.92%,33.59%,35.30%,37.07%,38.86%,40.64%,42.37%,44.05%,45.67%,47.25%,48.78%,50.27%,51.72%,53.13%,54.50%,55.83%,57.12%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
